Aダイヤ  大阪駅 上り時刻表,,,,,,,,,
5,普通,,,,,,,,
,55,,,,,,,,
,宝塚方面福知山,,,,,,,,
,6,,,,,,,,
6,普通,普通,丹波路快速,普通,,,,,
,9,37,47,58,,,,,
,宝塚方面篠山口,宝塚方面新三田,宝塚方面福知山,宝塚方面新三田,,,,,
,6,6,4,6,,,,,
7,丹波路快速,普通,普通,普通,,,,,
,3,13,29,55,,,,,
,宝塚方面篠山口,宝塚方面篠山口,宝塚方面新三田,宝塚方面篠山口,,,,,
,4,6,6,6,,,,,
8,特急こうのとり,普通,,,,,,,
,14,31,,,,,,,
,城崎温泉,宝塚方面新三田,,,,,,,
,4,6,,,,,,,
9,特急こうのとり,快速,普通,普通,丹波路快速,,,,
,10,20,31,45,52,,,,
,城崎温泉,宝塚方面篠山口,宝塚方面新三田,宝塚方面新三田,宝塚方面篠山口,,,,
,4,4,6,6,4,,,,
10,普通,特急こうのとり,普通,区間快速,普通,区間快速,普通,区間快速,
,0,12,15,22,30,35,45,51,
,宝塚方面新三田,城崎温泉,宝塚,宝塚方面篠山口,宝塚,宝塚方面新三田,宝塚,宝塚方面新三田,
,6,4,6,4,6,4,6,4,
11,普通,区間快速,普通,区間快速,普通,区間快速,普通,区間快速,
,0,6,15,22,30,37,45,52,
,宝塚,宝塚方面篠山口,宝塚,宝塚方面新三田,宝塚,宝塚方面新三田,宝塚,宝塚方面新三田,
,6,4,6,4,6,4,6,4,
12,普通,区間快速,特急こうのとり,普通,区間快速,普通,区間快速,普通,区間快速
,0,7,11,15,21,30,37,45,52
,宝塚,宝塚方面篠山口,城崎温泉,宝塚,宝塚方面新三田,宝塚,宝塚方面篠山口,宝塚,宝塚方面新三田
,6,4,4,6,4,6,4,6,4
13,普通,区間快速,特急こうのとり,普通,区間快速,普通,区間快速,普通,区間快速
,0,7,11,15,22,30,37,45,52
,宝塚,宝塚方面篠山口,宝塚方面福知山,宝塚,宝塚方面新三田,宝塚,宝塚方面新三田,宝塚,宝塚方面新三田
,6,4,4,6,4,6,4,6,4
14,普通,区間快速,普通,区間快速,普通,快速,普通,丹波路快速,
,0,7,15,22,30,36,45,51,
,宝塚,宝塚方面篠山口,宝塚,宝塚方面新三田,宝塚方面新三田,宝塚,宝塚方面新三田,宝塚方面篠山口,
,6,4,6,4,6,4,6,4,
15,普通,快速,特急こうのとり,普通,丹波路快速,普通,快速,普通,快速
,0,6,11,15,21,30,36,45,50
,宝塚方面新三田,宝塚,宝塚方面福知山,宝塚方面新三田,宝塚方面福知山,宝塚方面新三田,宝塚,宝塚方面新三田,宝塚方面篠山口
,6,4,4,6,4,6,4,6,4
16,普通,快速,普通,快速,普通,普通,丹波路快速,,
,0,6,15,25,30,45,55,,
,宝塚方面新三田,宝塚,宝塚方面新三田,宝塚方面篠山口,宝塚方面新三田,宝塚方面新三田,宝塚方面篠山口,,
,6,4,6,4,6,6,4,,
17,普通,特急こうのとり,普通,丹波路快速,普通,快速,普通,快速,
,0,11,15,24,30,39,45,54,
,宝塚方面新三田,豊岡,宝塚方面新三田,宝塚方面福知山,宝塚方面新三田,宝塚方面新三田,宝塚方面新三田,宝塚方面篠山口,
,6,4,6,4,6,4,6,4,
18,普通,特急こうのとり,普通,丹波路快速,普通,快速,普通,丹波路快速,
,0,11,15,24,30,39,45,54,
,宝塚方面新三田,宝塚方面福知山,宝塚方面新三田,宝塚方面福知山,宝塚方面新三田,宝塚方面新三田,宝塚方面新三田,宝塚方面篠山口,
,6,4,6,4,6,4,6,4,
19,普通,特急こうのとり,普通,丹波路快速,普通,快速,普通,快速,
,0,12,15,24,30,39,45,54,
,宝塚方面新三田,宝塚方面福知山,宝塚方面新三田,宝塚方面福知山,宝塚方面新三田,宝塚方面新三田,宝塚方面新三田,宝塚方面篠山口,
,6,4,6,4,6,4,6,4,
20,普通,特急こうのとり,普通,丹波路快速,普通,普通,快速,,
,0,12,15,24,30,45,54,,
,宝塚方面新三田,宝塚方面福知山,宝塚方面新三田,宝塚方面篠山口,宝塚方面新三田,宝塚方面新三田,宝塚方面篠山口,,
,6,4,6,4,6,6,4,,
21,普通,普通,丹波路快速,普通,普通,丹波路快速,,,
,0,15,24,30,45,54,,,
,宝塚方面新三田,宝塚,宝塚方面篠山口,宝塚方面新三田,宝塚方面新三田,宝塚方面篠山口,,,
,6,6,4,6,6,4,,,
22,普通,特急こうのとり,普通,丹波路快速,普通,,,,
,2,10,22,33,42,,,,
,宝塚方面新三田,宝塚方面福知山,宝塚方面新三田,宝塚方面篠山口,宝塚方面新三田,,,,
,6,4,6,4,6,,,,
23,普通,快速,普通,快速,普通,,,,
,2,2,20,30,38,,,,
,宝塚方面新三田,宝塚方面新三田,宝塚方面新三田,宝塚方面篠山口,宝塚,,,,
,6,4,6,4,6,,,,
