土休日ダイヤ 大阪駅 上り時刻表,,,,,,,,,,,,,,,,,,,
5,普通,普通,普通,普通,快速,普通,,,,,,,,,,,,,
,0,19,39,46,55,57,,,,,,,,,,,,,
,京都,京都,京都,吹田,米原方面長浜,京都,,,,,,,,,,,,,
,8,7,7,7,8,7,,,,,,,,,,,,,
6,普通,快速,普通,普通,快速,普通,普通,快速,普通,,,,,,,,,,
,12,21,23,30,39,41,48,56,57,,,,,,,,,,
,京都,京都方面米原,高槻,京都,京都方面米原,高槻,京都,京都方面米原,高槻,,,,,,,,,,
,7,8,7,7,8,7,7,8,7,,,,,,,,,,
7,普通,快速,普通,新快速,普通,快速,普通,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,,,
,2,9,11,15,15,24,26,30,30,33,39,41,45,46,53,56,,,
,京都,京都方面野洲,高槻,京都方面米原,京都,京都方面米原,高槻,米原方面近江塩津,京都,京都,京都方面野洲,高槻,湖西経由敦賀,京都,米原方面長浜,高槻,,,
,7,8,7,8,7,8,7,8,7,24,8,7,8,7,8,7,,,
8,新快速,普通,特急ひだ25号,快速,普通,新快速,普通,快速,普通,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,
,0,1,2,8,11,15,16,23,25,30,31,31,38,40,45,46,53,55,
,京都方面米原,京都,高山,京都方面野洲,高槻,京都方面草津,高槻,京都方面米原,京都,米原方面近江塩津,高槻,京都,京都方面野洲,京都,近江今津,高槻,京都方面米原,京都,
,8,7,11,8,7,8,7,8,7,8,7,24,8,7,8,7,8,7,
9,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,
,0,1,2,8,10,15,16,23,25,30,31,32,38,40,45,47,53,55,
,京都方面草津,高槻,京都,京都方面野洲,京都,湖西経由敦賀,高槻,京都方面米原,高槻,米原方面近江塩津,高槻,京都,京都方面野洲,高槻,京都方面野洲,高槻,京都方面米原,高槻,
,8,7,24,8,7,8,7,8,7,8,7,24,8,7,8,7,8,7,
10,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,新快速,普通,特急,快速,普通,新快速,普通,特急,快速,普通
,0,2,2,8,10,15,17,23,25,30,32,32,38,40,45,47,47,53,55
,京都方面草津,高槻,京都,京都方面野洲,高槻,湖西経由敦賀,高槻,京都方面米原,高槻,米原方面近江塩津,高槻,京都,京都方面野洲,高槻,京都方面野洲,高槻,京都,京都方面米原,高槻
,8,7,24,8,7,8,7,8,7,8,7,24,8,7,8,7,24,8,7
11,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,
,0,2,2,8,10,15,17,23,25,30,32,32,38,40,45,47,53,55,
,京都方面草津,高槻,京都,京都方面野洲,高槻,湖西経由敦賀,高槻,京都方面米原,高槻,米原方面近江塩津,高槻,京都,京都方面野洲,高槻,京都方面野洲,高槻,京都方面米原,高槻,
,8,7,24,8,7,8,7,8,7,8,7,24,8,7,8,7,8,7,
12,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,
,0,2,2,8,10,15,17,23,25,30,32,32,38,40,45,47,53,55,
,京都方面草津,高槻,京都,京都方面野洲,高槻,湖西経由敦賀,高槻,京都方面米原,高槻,米原方面近江塩津,高槻,京都,京都方面野洲,高槻,京都方面野洲,高槻,京都方面米原,高槻,
,8,7,24,8,7,8,7,8,7,8,7,24,8,7,8,7,8,7,
13,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,
,0,2,2,8,10,15,17,23,25,30,32,32,38,40,45,47,53,55,
,京都方面草津,高槻,京都,京都方面野洲,高槻,湖西経由敦賀,高槻,京都方面米原,高槻,米原方面近江塩津,高槻,京都,京都方面野洲,高槻,京都方面野洲,高槻,京都方面米原,高槻,
,8,7,24,8,7,8,7,8,7,8,7,24,8,7,8,7,8,7,
14,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,
,0,2,2,8,10,15,17,23,25,30,32,32,38,40,45,47,53,55,
,米原方面長浜,高槻,京都,京都方面野洲,高槻,湖西経由敦賀,高槻,京都方面米原,京都,米原方面近江塩津,高槻,京都,京都方面野洲,京都,京都方面野洲,高槻,京都方面米原,京都,
,8,7,24,8,7,8,7,8,7,8,7,24,8,7,8,7,8,7,
15,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,
,0,2,2,8,10,15,17,23,25,30,32,32,38,40,45,47,53,55,
,米原方面長浜,高槻,京都,京都方面野洲,京都,湖西経由敦賀,高槻,京都方面米原,京都,米原方面敦賀,高槻,京都,京都方面米原,京都,京都方面野洲,高槻,京都方面米原,京都,
,8,7,24,8,7,8,7,8,7,8,7,24,8,7,8,7,8,7,
16,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,
,0,2,2,8,10,15,17,23,25,30,32,32,38,40,45,47,53,55,
,米原方面長浜,高槻,京都,京都方面米原,京都,京都方面野洲,高槻,京都方面米原,京都,米原方面敦賀,高槻,京都,京都方面米原,京都,京都方面草津,高槻,京都方面米原,京都,
,8,7,24,8,7,8,7,8,7,8,7,24,8,7,8,7,8,7,
17,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,
,0,2,2,8,10,15,17,23,25,30,32,32,38,40,45,47,53,55,
,米原方面長浜,高槻,京都,京都方面米原,京都,京都方面野洲,高槻,京都方面米原,京都,米原方面敦賀,高槻,京都,京都方面米原,京都,京都方面草津,高槻,京都方面米原,京都,
,8,7,24,8,7,8,7,8,7,8,7,24,8,7,8,7,8,7,
18,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,
,0,2,2,8,10,15,17,23,25,30,32,32,38,40,45,47,53,55,
,米原方面長浜,高槻,京都,京都方面米原,京都,京都方面草津,高槻,米原方面長浜,京都,米原方面敦賀,高槻,京都,京都方面野洲,京都,京都方面草津,高槻,京都方面米原,京都,
,8,7,24,8,7,8,7,8,7,8,7,24,8,7,8,7,8,7,
19,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,新快速,普通,特急,特急ｽｰﾊﾟｰはくと14号,快速,普通,新快速,普通,快速,普通
,0,2,2,8,10,15,17,23,25,30,32,32,36,38,40,45,47,53,55
,京都方面米原,高槻,京都,京都方面野洲,京都,京都方面野洲,高槻,京都方面米原,京都,米原方面長浜,高槻,京都,京都,京都方面野洲,京都,京都方面野洲,高槻,京都方面米原,京都
,8,7,24,8,7,8,7,8,7,8,7,24,10,8,7,8,7,8,7
20,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,新快速,普通,特急,快速,普通,新快速,普通,快速,普通,
,0,2,2,8,10,15,17,23,25,30,32,32,38,40,45,47,53,55,
,米原方面長浜,高槻,京都方面野洲,京都方面野洲,京都,京都方面野洲,高槻,京都方面米原,京都,米原方面長浜,高槻,京都,京都方面野洲,京都,京都方面野洲,高槻,京都方面米原,京都,
,8,7,24,8,7,8,7,8,7,8,7,24,8,7,8,7,8,7,
21,新快速,普通,特急,特急ｽｰﾊﾟｰはくと16号,快速,普通,新快速,普通,快速,普通,特急,新快速,普通,快速,普通,,,,
,0,2,2,7,10,12,20,22,30,32,32,40,42,50,52,,,,
,京都方面米原,高槻,京都方面野洲,京都,京都方面野洲,京都,京都方面野洲,高槻,京都方面米原,京都,京都,京都方面米原,高槻,京都方面野洲,京都,,,,
,8,7,24,10,8,7,8,7,8,7,24,8,7,8,7,,,,
22,新快速,普通,快速,特急,普通,新快速,普通,快速,普通,新快速,普通,快速,普通,,,,,,
,0,2,10,11,12,20,22,30,32,40,42,50,52,,,,,,
,京都方面米原,高槻,京都方面米原,京都,京都,京都方面野洲,高槻,京都方面米原,京都,京都方面野洲,高槻,京都方面米原,京都,,,,,,
