平日ダイヤ 大阪駅 下り時刻表,,,
6,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,,
,30,,
,湖西経由敦賀,,
,11,,
7,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,新快速
,0,40,47
,湖西経由敦賀,湖西経由敦賀,湖西経由敦賀
,11,11,9
8,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,新快速,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ
,10,16,42
,湖西経由敦賀,近江今津,湖西経由敦賀
,11,9,11
9,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,新快速,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ
,12,16,41
,湖西経由敦賀,湖西経由敦賀,湖西経由敦賀
,11,8,11
10,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,新快速,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ
,9,15,42
,湖西経由敦賀,湖西経由敦賀,湖西経由敦賀
,11,8,11
11,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,新快速,
,12,15,
,湖西経由敦賀,湖西経由敦賀,
,11,8,
12,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,新快速,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ
,12,15,42
,湖西経由敦賀,湖西経由敦賀,湖西経由敦賀
,11,8,11
13,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,新快速,
,12,15,
,湖西経由敦賀,湖西経由敦賀,
,11,8,
14,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,新快速,
,12,15,
,湖西経由敦賀,湖西経由敦賀,
,11,8,
15,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,新快速,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ
,9,15,40
,湖西経由敦賀,湖西経由敦賀,湖西経由敦賀
,11,8,11
16,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,
,9,40,
,湖西経由敦賀,湖西経由敦賀,
,11,11,
17,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,
,9,40,
,湖西経由敦賀,湖西経由敦賀,
,11,11,
18,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,新快速,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ
,10,22,42
,湖西経由敦賀,湖西経由敦賀,湖西経由敦賀
,11,10,11
19,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,,
,10,,
,湖西経由敦賀,,
,11,,
20,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,
,7,54,
,湖西経由敦賀,湖西経由敦賀,
,11,11,
21,,,
,,,
,,,
,,,
22,,,
,,,
,,,
,,,
23,,,
,,,
,,,
,,,
0,寝台特急ｻﾝﾗｲｽﾞ出雲瀬戸,,
,33,,
,東京,,
,11,,
