平日ダイヤ 三ノ宮駅 上り時刻表,,,,,,,,,,,,,,,,,,,,,,,,,
5,普通,普通,普通,普通,普通,,,,,,,,,,,,,,,,,,,,
,02,17,41,49,56,,,,,,,,,,,,,,,,,,,,
,京都,京都,高槻,京都,京都,,,,,,,,,,,,,,,,,,,,
,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
6,快速,普通,普通,普通,快速,新快速,普通,新快速,普通,快速,新快速,普通,快速,新快速,普通,,,,,,,,,,
,02,06,11,18,23,25,27,36,36,43,45,47,52,56,57,,,,,,,,,,
,米原,松井山手,高槻,京田辺,米原,野洲,京都,米原,高槻,米原,野洲,松井山手,米原,近江塩津,高槻,,,,,,,,,,
,3,3,3,3,3,4,3,4,3,3,4,3,3,4,3,,,,,,,,,,
7,普通,特急らくラクはりま2号,快速,新快速,普通,普通,快速,新快速,普通,普通,新快速,快速,普通,新快速,普通,快速,普通,新快速,特急らくラクはりま4号,普通,快速,普通,新快速,普通,
,00,04,05,10,10,13,17,20,23,27,29,33,33,39,39,42,45,47,50,50,54,54,59,59,
,京都,京都,米原,野洲,四条畷,松井山手,野洲,米原・敦賀,高槻,京都,野洲,近江塩津,京都,長浜,高槻,大阪,高槻,近江今津,新大阪,放出,大阪,京都,野洲,四条畷,
,3,4,3,4,3,3,3,4,3,3,4,3,3,4,3,3,3,4,4,3,3,3,4,3,
8,快速,普通,新快速,普通,快速,普通,新快速,普通,快速,普通,新快速,普通,快速,普通,新快速,普通,快速,普通,快速,普通,新快速,快速,普通,,
,03,03,08,08,11,13,17,17,20,23,27,28,30,33,37,38,40,43,44,49,51,55,58,,
,大阪,京都,草津,高槻,大阪,大阪,野洲,松井山手,大阪,放出,草津,高槻,大阪,高槻,野洲,高槻,野洲,放出,大阪,四条畷,湖西経由敦賀,米原,高槻,,
,3,3,4,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3,3,3,4,3,3,,
9,特急ｽｰﾊﾟｰはくと,普通,新快速,快速,普通,新快速,快速,普通,普通,新快速,特急はまかぜ,快速,普通,普通,新快速,快速,普通,,,,,,,,
,00,05,07,10,13,21,24,28,34,36,40,40,43,48,53,55,58,,,,,,,,
,大阪,高槻,近江塩津,野洲,四条畷,野洲,米原,高槻,四条畷,草津,大阪,野洲,高槻,四条畷,湖西経由敦賀,米原,高槻,,,,,,,,
,4,3,4,3,3,4,3,3,3,4,4,3,3,3,4,3,3,,,,,,,,
10,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,,,,,,,,,
,03,07,10,13,17,22,25,28,34,37,40,43,48,52,55,58,,,,,,,,,
,四条畷,近江塩津,野洲,高槻,四条畷,野洲,米原,高槻,四条畷,草津,野洲,高槻,四条畷,湖西経由敦賀,米原,高槻,,,,,,,,,
,3,4,3,3,3,4,3,3,3,4,3,3,3,4,3,3,,,,,,,,,
11,特急ｽｰﾊﾟｰはくと,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,,,,,,,,
,01,04,07,10,13,18,22,25,28,34,37,40,43,49,52,55,58,,,,,,,,
