平日ダイヤ 三ノ宮駅 下り時刻表,,,,,,,,,,,,,,,,,,,,,
5,普通,,,,,,,,,,,,,,,,,,,,
,36,,,,,,,,,,,,,,,,,,,,
,西明石,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,
6,普通,普通,普通,快速,普通,普通,普通,快速,普通,,,,,,,,,,,,
,1,12,19,25,31,37,45,49,55,,,,,,,,,,,,
,加古川,西明石,加古川,姫路,西明石,西明石,西明石,姫路方面網干,神戸,,,,,,,,,,,,
,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,
7,普通,普通,普通,新快速,快速,普通,普通,快速,新快速,普通,快速,普通,普通,快速,新快速,普通,特急ｽｰﾊﾟｰはくと,,,,
,0,5,11,13,14,20,24,27,30,32,37,43,47,51,51,57,57,,,,
,西明石,西明石,西明石,姫路,姫路方面網干,西明石,西明石,姫路,姫路,西明石,姫路方面網干,西明石,西明石,姫路,姫路,西明石,倉吉,,,,
,3,3,3,4,3,3,3,3,4,3,3,3,3,3,4,3,4,,,,
8,普通,快速,普通,新快速,快速,特急はまかぜ,普通,快速,普通,新快速,普通,快速,普通,新快速,快速,普通,新快速,普通,普通,新快速,快速
,1,5,9,9,12,13,17,20,23,25,28,30,34,34,40,44,45,49,54,54,57
,西明石,姫路方面網干,西明石,姫路,姫路方面網干,鳥取,西明石,姫路,西明石,姫路,西明石,姫路,西明石,姫路,姫路方面網干,西明石,姫路,西明石,西明石,西明石,姫路
,3,3,3,4,3,4,3,3,3,4,3,3,3,4,3,3,4,3,3,4,3
9,普通,新快速,普通,快速,新快速,普通,普通,普通,新快速,快速,普通,新快速,普通,特急ｽｰﾊﾟｰはくと,快速,普通,快速,新快速,,,
,2,2,7,13,13,18,23,29,29,32,38,38,42,44,45,50,53,53,,,
,西明石,姫路,西明石,姫路方面網干,姫路,西明石,西明石,西明石,姫路,姫路方面網干,西明石,姫路,西明石,倉吉,加古川,西明石,西明石,姫路,,,
,3,4,3,3,4,3,3,3,4,3,3,4,3,4,3,3,3,4,,,
10,普通,快速,新快速,普通,普通,快速,新快速,普通,普通,快速,新快速,普通,普通,快速,新快速,普通,,,,,
,1,7,7,12,17,20,23,26,31,35,38,40,46,50,52,55,,,,,
,西明石,姫路方面網干,姫路,西明石,須磨,加古川,姫路,西明石,須磨,姫路方面網干,姫路,西明石,須磨,加古川,姫路,西明石,,,,,
,3,3,4,3,3,3,4,3,3,3,4,3,3,3,4,3,,,,,
11,普通,快速,新快速,普通,特急ｽｰﾊﾟｰはくと,普通,快速,新快速,普通,普通,快速,新快速,普通,普通,快速,新快速,普通,,,,
,1,5,7,10,14,16,20,22,25,31,35,37,40,46,50,52,55,,,,
,須磨,姫路方面網干,姫路,西明石,倉吉,須磨,加古川,姫路,西明石,須磨,姫路方面網干,姫路,西明石,須磨,加古川,姫路,西明石,,,,
,3,3,4,3,4,3,3,4,3,3,3,4,3,3,3,4,3,,,,
12,普通,快速,新快速,普通,普通,快速,新快速,普通,普通,快速,新快速,普通,特急はまかぜ,普通,快速,新快速,普通,,,,
,1,5,7,10,16,20,22,25,31,35,37,40,42,46,50,52,55,,,,
,須磨,姫路方面網干,姫路,西明石,須磨,加古川,姫路,西明石,須磨,姫路方面網干,姫路,西明石,香住,須磨,加古川,姫路,西明石,,,,
,3,3,4,3,3,3,4,3,3,3,4,3,4,3,3,4,3,,,,
13,普通,快速,新快速,普通,特急ｽｰﾊﾟｰはくと,普通,快速,新快速,普通,普通,快速,新快速,普通,普通,快速,新快速,普通,,,,
,1,5,7,10,14,16,20,22,25,31,35,37,40,46,50,52,55,,,,
,須磨,姫路方面網干,姫路,西明石,倉吉,須磨,加古川,姫路,西明石,須磨,姫路方面網干,姫路,西明石,須磨,加古川,姫路,西明石,,,,
,3,3,4,3,4,3,3,4,3,3,3,4,3,3,3,4,3,,,,
14,普通,快速,新快速,普通,普通,快速,新快速,普通,普通,快速,新快速,普通,普通,快速,新快速,普通,,,,,
,1,5,7,10,16,20,22,25,31,35,37,40,46,50,52,55,,,,,
,須磨,姫路方面網干,姫路,西明石,須磨,加古川,姫路,西明石,須磨,姫路方面網干,姫路,西明石,須磨,加古川,姫路,西明石,,,,,
,3,3,4,3,3,3,4,3,3,3,4,3,3,3,4,3,,,,,
15,普通,快速,新快速,普通,特急ｽｰﾊﾟｰはくと,普通,快速,新快速,普通,普通,快速,新快速,普通,普通,快速,新快速,普通,,,,
,1,5,7,10,14,16,20,22,25,31,35,37,40,46,50,52,55,,,,
,須磨,姫路方面網干,姫路,西明石,鳥取,須磨,姫路方面網干,姫路,西明石,須磨,姫路方面網干,姫路,西明石,西明石,姫路方面網干,姫路,西明石,,,,
,3,3,4,3,4,3,3,4,3,3,3,4,3,3,3,4,3,,,,
16,普通,快速,新快速,普通,普通,快速,新快速,普通,普通,快速,新快速,普通,普通,快速,新快速,普通,,,,,
,1,5,7,11,16,20,23,26,32,36,38,42,47,51,53,57,,,,,
,西明石,姫路方面網干,姫路,西明石,西明石,姫路方面網干,播州赤穂,西明石,西明石,姫路,姫路,西明石,西明石,姫路方面網干,姫路,西明石,,,,,
,3,3,4,3,3,3,4,3,3,3,4,3,3,3,4,3,,,,,
17,普通,快速,新快速,普通,普通,快速,新快速,普通,特急ｽｰﾊﾟｰはくと,普通,快速,新快速,普通,普通,快速,新快速,普通,,,,
,2,6,8,12,17,21,23,27,27,32,36,38,42,47,51,54,57,,,,
,西明石,姫路方面網干,播州赤穂,西明石,西明石,姫路方面網干,姫路,西明石,鳥取,西明石,姫路,播州赤穂,西明石,西明石,姫路方面網干,姫路,西明石,,,,
,3,3,4,3,3,3,4,3,4,3,3,4,3,3,3,4,3,,,,
18,普通,快速,新快速,普通,新快速,普通,快速,新快速,普通,特急はまかぜ,新快速,普通,快速,新快速,普通,新快速,普通,快速,新快速,普通,
,2,6,9,12,15,18,21,24,27,27,31,33,36,39,42,45,48,51,54,57,
,西明石,姫路方面網干,播州赤穂,西明石,姫路,西明石,姫路方面網干,姫路,西明石,豊岡,播州赤穂,西明石,姫路方面網干,姫路,西明石,姫路方面網干,西明石,姫路方面網干,姫路,西明石,
,3,3,4,3,4,3,3,4,3,4,4,3,3,4,3,4,3,3,4,3,
19,新快速,普通,快速,新快速,普通,普通,快速,新快速,普通,特急ｽｰﾊﾟｰはくと,普通,快速,新快速,普通,普通,快速,新快速,普通,,,
,0,3,6,9,12,18,21,24,27,28,33,36,39,42,47,51,54,57,,,
,姫路,西明石,姫路,播州赤穂,西明石,西明石,姫路方面網干,姫路,西明石,倉吉,西明石,姫路,播州赤穂,西明石,西明石,姫路方面網干,姫路方面網干,西明石,,,
,4,3,3,4,3,3,3,4,3,3,3,3,4,3,3,3,4,3,,,
20,普通,快速,新快速,普通,普通,快速,新快速,普通,特急らくラクはりま,普通,快速,新快速,普通,普通,快速,新快速,普通,特急ｽｰﾊﾟｰはくと,,,
,2,6,8,12,17,21,23,27,27,32,36,38,42,47,51,53,57,57,,,
,西明石,姫路方面網干,播州赤穂,西明石,西明石,姫路方面網干,姫路,西明石,姫路方面網干,西明石,姫路方面網干,播州赤穂,西明石,西明石,姫路,姫路,西明石,鳥取,,,
,3,3,4,3,3,3,4,3,4,3,3,4,3,3,3,4,3,4,,,
21,普通,快速,新快速,普通,普通,快速,新快速,普通,普通,快速,新快速,普通,普通,快速,新快速,普通,,,,,
,2,6,8,12,17,21,23,27,31,36,38,41,46,51,53,56,,,,,
,西明石,姫路方面網干,姫路,西明石,西明石,播州赤穂,姫路方面上郡,西明石,西明石,姫路方面上郡,姫路,西明石,西明石,姫路方面網干,姫路,西明石,,,,,
,3,3,4,3,3,3,4,3,3,3,4,3,3,3,4,3,,,,,
22,普通,快速,新快速,普通,普通,快速,新快速,普通,普通,快速,新快速,普通,普通,快速,,,,,,,
,1,6,8,11,16,23,23,26,33,39,43,45,53,59,,,,,,,
,西明石,姫路方面網干,姫路,西明石,神戸,加古川,姫路方面網干,西明石,西明石,姫路,姫路方面網干,西明石,西明石,姫路方面上郡,,,,,,,
,3,3,4,3,3,3,4,3,3,3,4,3,3,3,,,,,,,
23,新快速,普通,普通,快速,新快速,普通,普通,快速,新快速,普通,普通,,,,,,,,,,
,3,5,13,19,23,25,32,39,43,45,52,,,,,,,,,,
,姫路方面網干,西明石,西明石,姫路,姫路,西明石,西明石,姫路,姫路,西明石,西明石,,,,,,,,,,
,4,3,3,3,4,3,3,3,4,3,3,,,,,,,,,,
0,快速,新快速,普通,新快速,普通,普通,,,,,,,,,,,,,,,
,3,4,11,24,29,42,,,,,,,,,,,,,,,
,姫路,姫路,西明石,西明石,西明石,西明石,,,,,,,,,,,,,,,
,3,4,3,4,3,3,,,,,,,,,,,,,,,
