Aダイヤ 天王寺駅 上り時刻表,,,,,,,,,,,,,
4,普通,,,,,,,,,,,,
,52,,,,,,,,,,,,
,,,,,,,,,,,,,
,14,,,,,,,,,,,,
5,普通,普通,普通,,,,,,,,,,
,09,37,58,,,,,,,,,,
,ＪＲ難波,ＪＲ難波,ＪＲ難波,,,,,,,,,,
,17,17,17,,,,,,,,,,
6,普通,普通,快速,普通,普通,普通,,,,,,,
,13,28,33,42,52,57,,,,,,,
,ＪＲ難波,ＪＲ難波,ＪＲ難波,ＪＲ難波,ＪＲ難波,ＪＲ難波,,,,,,,
,17,17,17,17,17,17,,,,,,,
7,快速,普通,普通,快速,普通,快速,普通,区間快速,快速,普通,快速,らくラクやまと,快速
,01,08,15,23,27,35,40,42,47,52,54,57,59
,ＪＲ難波,ＪＲ難波,ＪＲ難波,ＪＲ難波,ＪＲ難波,ＪＲ難波,ＪＲ難波,天王寺,ＪＲ難波,ＪＲ難波,ＪＲ難波,新大阪,ＪＲ難波
,17,17,17,17,17,17,17,17,17,17,17,17,17
8,普通,区間快速,快速,普通,快速,快速,普通,普通,快速,快速,普通,快速,普通
,04,06,11,16,19,23,28,35,40,45,49,53,59
,ＪＲ難波,天王寺,ＪＲ難波,ＪＲ難波,ＪＲ難波,ＪＲ難波,ＪＲ難波,ＪＲ難波,ＪＲ難波,ＪＲ難波,ＪＲ難波,ＪＲ難波,ＪＲ難波
,17,17,17,17,17,17,17,17,17,17,17,17,17
9,大和路快速,普通,普通,大和路快速,普通,大和路快速,普通,大和路快速,普通,,,,
,07,14,17,22,29,37,44,52,59,,,,
,大阪,ＪＲ難波,ＪＲ難波,大阪,ＪＲ難波,大阪,ＪＲ難波,大阪,ＪＲ難波,,,,
,17,17,17,17,17,17,17,17,17,,,,
10,大和路快速,普通,大和路快速,普通,大和路快速,普通,大和路快速,普通,,,,,
,07,14,22,29,37,44,52,59,,,,,
,大阪,ＪＲ難波,大阪,ＪＲ難波,大阪,ＪＲ難波,大阪,ＪＲ難波,,,,,
,17,17,17,17,17,17,17,17,,,,,
11,大和路快速,普通,大和路快速,普通,大和路快速,普通,大和路快速,普通,,,,,
,07,14,22,29,37,44,52,59,,,,,
,大阪,ＪＲ難波,大阪,ＪＲ難波,大阪,ＪＲ難波,大阪,ＪＲ難波,,,,,
,17,17,17,17,17,17,17,17,,,,,
12,大和路快速,普通,大和路快速,普通,大和路快速,普通,大和路快速,普通,,,,,
,07,14,22,29,37,44,52,59,,,,,
,大阪,ＪＲ難波,大阪,ＪＲ難波,大阪,ＪＲ難波,大阪,ＪＲ難波,,,,,
,17,17,17,17,17,17,17,17,,,,,
13,大和路快速,普通,大和路快速,普通,大和路快速,普通,大和路快速,普通,,,,,
,07,14,22,29,37,44,52,59,,,,,
,大阪,ＪＲ難波,大阪,ＪＲ難波,大阪,ＪＲ難波,大阪,ＪＲ難波,,,,,
,17,17,17,17,17,17,17,17,,,,,
14,大和路快速,普通,大和路快速,普通,大和路快速,普通,大和路快速,普通,,,,,
,07,14,22,29,37,44,52,59,,,,,
,大阪,ＪＲ難波,大阪,ＪＲ難波,大阪,ＪＲ難波,大阪,ＪＲ難波,,,,,
,17,17,17,17,17,17,17,17,,,,,
15,大和路快速,普通,大和路快速,普通,大和路快速,普通,大和路快速,普通,,,,,
,07,14,22,29,37,44,52,59,,,,,
,大阪,ＪＲ難波,大阪,ＪＲ難波,大阪,ＪＲ難波,大阪,ＪＲ難波,,,,,
,17,17,17,17,17,17,17,17,,,,,
16,大和路快速,普通,大和路快速,普通,普通,大和路快速,普通,区間快速,普通,,,,
,07,14,22,28,31,37,43,47,52,,,,
,大阪,ＪＲ難波,大阪,ＪＲ難波,ＪＲ難波,大阪,ＪＲ難波,天王寺,ＪＲ難波,,,,
,17,17,17,17,17,17,17,17,17,,,,
17,区間快速,普通,快速,区間快速,普通,普通,区間快速,普通,快速,区間快速,普通,普通,
,02,07,14,17,22,29,32,37,44,47,52,59,
,天王寺,ＪＲ難波,ＪＲ難波,天王寺,ＪＲ難波,ＪＲ難波,天王寺,ＪＲ難波,ＪＲ難波,天王寺,ＪＲ難波,ＪＲ難波,
,17,17,17,17,17,17,17,17,17,17,17,17,
18,区間快速,普通,快速,区間快速,普通,普通,区間快速,普通,快速,区間快速,普通,普通,
,02,07,14,17,22,29,32,37,44,47,52,59,
,天王寺,ＪＲ難波,ＪＲ難波,天王寺,ＪＲ難波,ＪＲ難波,天王寺,ＪＲ難波,ＪＲ難波,天王寺,ＪＲ難波,ＪＲ難波,
,17,17,17,17,17,17,17,17,17,17,17,17,
19,区間快速,普通,快速,区間快速,普通,普通,区間快速,普通,快速,普通,普通,,
,02,07,14,17,24,29,32,37,47,54,59,,
