Aダイヤ 天王寺駅 上り時刻表,,,,,,,,,,,,,,,,
4,普通,,,,,,,,,,,,,,,
,52,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,
5,普通,普通,普通,普通,普通,普通,,,,,,,,,,
,09,19,29,36,46,54,,,,,,,,,,
,,,,,,,,,,,,,,,,
,14,14,14,14,14,14,,,,,,,,,,
6,特急くろしお,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,特急くろしお,,,,
,02,04,12,20,28,33,38,42,48,54,59,59,,,,
,新大阪,,,,,,,,,,,新大阪,,,,
,14,14,14,14,14,14,18,14,14,14,14,14,,,,
7,普通,普通,普通,普通,普通,特急はるか,普通,普通,普通,普通,特急くろしお,普通,普通,普通,普通,
,05,10,14,18,21,21,26,30,34,38,45,46,50,52,57,
,,,,,,京都,,,,,新大阪,,,,,
,14,14,18,18,14,14,18,18,14,18,18,14,18,14,14,
8,普通,普通,特急はるか,普通,普通,普通,普通,普通,普通,普通,普通,特急はるか,普通,関空快速,普通,
,02,09,09,14,17,21,26,30,34,38,42,42,48,56,59,
,,,京都,,,,,,,,,京都,,,,
,18,14,14,18,14,14,18,18,14,18,14,14,14,18,14,
9,特急くろしお,大和路快速,普通,関空快速,特急はるか,大和路快速,普通,関空快速,特急くろしお,大和路快速,普通,関空快速,特急はるか,大和路快速,関空快速,普通
,01,07,10,12,21,22,25,26,35,37,40,41,50,52,56,57
,新大阪,,,,京都,,,,新大阪,,,,京都,,,
,14,18,14,18,18,18,14,18,18,18,14,18,18,18,18,14
10,大和路快速,関空快速,普通,特急はるか,大和路快速,関空快速,普通,特急くろしお,大和路快速,関空快速,普通,特急はるか,大和路快速,関空快速,普通,
,07,11,12,20,22,26,28,35,37,41,43,50,52,56,57,
,,,,京都,,,,京都,,,,京都,,,,
,18,18,14,14,18,18,14,14,18,18,14,14,18,18,14,
11,大和路快速,関空快速,普通,特急はるか,大和路快速,関空快速,普通,特急くろしお,大和路快速,関空快速,普通,特急はるか,大和路快速,関空快速,普通,
,07,11,12,20,22,26,27,35,37,41,42,50,52,56,57,
,,,,京都,,,,新大阪,,,,京都,,,,
,18,18,14,14,18,18,14,14,18,18,14,14,18,18,14,
12,大和路快速,関空快速,普通,特急はるか,大和路快速,関空快速,普通,特急くろしお,大和路快速,関空快速,普通,特急はるか,大和路快速,関空快速,普通,
,07,11,12,20,22,26,27,35,37,41,42,50,52,56,57,
,,,,京都,,,,新大阪,,,,京都,,,,
,18,18,14,14,18,18,14,14,18,18,14,14,18,18,14,
13,大和路快速,関空快速,普通,特急はるか,大和路快速,関空快速,普通,大和路快速,関空快速,普通,特急はるか,大和路快速,関空快速,普通,,
,07,11,12,20,22,26,27,37,41,42,50,52,56,57,,
,,,,京都,,,,,,,京都,,,,,
,18,18,14,14,18,18,14,18,18,14,14,18,18,14,,
14,大和路快速,関空快速,普通,特急はるか,大和路快速,関空快速,普通,特急くろしお,大和路快速,関空快速,普通,特急はるか,大和路快速,関空快速,普通,
,07,11,12,20,22,26,27,35,37,41,42,50,52,56,57,
,,,,京都,,,,新大阪,,,,京都,,,,
,18,18,14,14,18,18,14,14,18,18,14,14,18,18,14,
15,大和路快速,関空快速,普通,特急はるか,大和路快速,関空快速,普通,特急くろしお,大和路快速,関空快速,普通,特急はるか,大和路快速,関空快速,普通,
,07,11,12,20,22,26,27,35,37,41,42,50,52,56,57,
,,,,京都,,,,新大阪,,,,京都,,,,
,18,18,14,14,18,18,14,14,18,18,14,14,18,18,14,
16,大和路快速,関空快速,普通,特急はるか,大和路快速,関空快速,普通,特急くろしお,大和路快速,関空快速,普通,特急はるか,関空快速,普通,,
,07,11,12,20,22,26,27,35,37,41,42,50,56,57,,
,,,,京都,,,,新大阪,,,,京都,,,,
,18,18,14,14,18,18,14,14,18,18,14,14,18,14,,
17,関空快速,普通,特急はるか,関空快速,普通,特急くろしお,関空快速,普通,特急はるか,関空快速,普通,,,,,
,11,12,20,26,27,35,41,42,50,56,57,,,,,
,,,京都,,,新大阪,,,京都,,,,,,,
,18,14,14,18,14,14,18,14,14,18,14,,,,,
18,関空快速,普通,特急はるか,関空快速,普通,特急くろしお,関空快速,普通,特急はるか,関空快速,普通,,,,,
,11,12,20,26,27,34,41,42,49,56,57,,,,,
,,,京都,,,新大阪,,,京都,,,,,,,
,18,14,14,18,14,14,18,14,14,18,14,,,,,
19,関空快速,普通,特急はるか,関空快速,普通,特急くろしお,関空快速,普通,普通,特急はるか,関空快速,普通,,,,
,11,12,19,26,27,35,41,42,46,49,56,57,,,,
,,,京都,,,新大阪,,,,野洲,,,,,,
,18,14,14,18,14,14,18,14,14,14,18,14,,,,
20,普通,関空快速,普通,特急はるか,関空快速,普通,普通,関空快速,特急はるか,普通,,,,,,
