平日ダイヤ 敦賀駅 上り時刻表,,,,,
5,普通,普通,新快速*,新快速*,新快速
,20,26,31,51,57
,米原,近江今津,姫路,姫路,姫路
,6,5,7,7,5
6,快速,普通,,,
,31,55,,,
,米原,長浜,,,
,6,6,,,
7,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,特急しらさぎ,普通,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,普通
,5,11,17,35,47
,京都方面大阪,名古屋,近江今津,京都方面大阪,米原
,33,34,5,33,5
8,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,特急しらさぎ,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,,
,7,11,37,,
,京都方面大阪,米原,京都方面大阪,,
,33,34,33,,
9,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,特急しらさぎ,新快速,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,
,7,11,20,39,
,京都方面大阪,名古屋,姫路,京都方面大阪,
,33,34,5,33,
10,特急しらさぎ,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,新快速,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,
,10,14,20,44,
,米原,京都方面大阪,姫路,京都方面大阪,
,34,33,5,33,
11,特急しらさぎ,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,新快速,,
,10,14,20,,
,名古屋,京都方面大阪,姫路,,
,34,33,5,,
12,特急しらさぎ,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,新快速,,
,10,14,20,,
,米原,京都方面大阪,姫路,,
,34,33,5,,
13,特急しらさぎ,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,新快速,,
,10,14,20,,
,名古屋,京都方面大阪,姫路,,
,34,33,5,,
14,特急しらさぎ,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,新快速,,
,10,14,20,,
,米原,京都方面大阪,姫路,,
,34,33,5,,
15,特急しらさぎ,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,新快速,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,
,10,14,20,44,
,名古屋,京都方面大阪,姫路,京都方面大阪,
,34,33,5,33,
16,普通,特急しらさぎ,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,新快速,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ
,3,9,13,20,43
,長浜,名古屋,京都方面大阪,姫路,京都方面大阪
,6,34,33,5,33
17,普通,特急しらさぎ,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,新快速*
,1,10,14,44,49
,近江今津,米原,京都方面大阪,京都方面大阪,播州赤穂
,6,34,33,33,6
18,特急しらさぎ,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,新快速*,
,8,12,44,49,
,名古屋,京都方面大阪,京都方面大阪,姫路,
,34,33,33,7,
19,特急しらさぎ,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,普通,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,普通
,10,14,21,44,55
,米原,京都方面大阪,京都,京都方面大阪,米原
,34,33,6,33,7
20,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,特急しらさぎ,,,
,11,15,,,
,京都方面大阪,名古屋,,,
,33,34,,,
21,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,普通,,,
,8,12,,,
,京都方面大阪,長浜,,,
,33,5,,,
22,特急しらさぎ,特急ｻﾝﾀﾞｰﾊﾞｰﾄﾞ,普通,,
,1,5,8,,
,米原,京都方面大阪,米原,,
,34,33,5,,
