Aダイヤ 博多駅 下り時刻表,,,,
6,つばめ 307,つばめ 309,,
,10,42,,
,鹿児島中央,鹿児島中央,,
,11,15,,
7,つばめ 311,さくら 401,,
,24,58,,
,鹿児島中央,鹿児島中央,,
,15,15,,
8,つばめ* 313,みずほ 601,さくら* 403,つばめ* 315
,10,30,40,51
,熊本,鹿児島中央,鹿児島中央,熊本
,11,15,11,14
9,さくら 541,さくら 543,つばめ* 317,みずほ 603
,6,28,36,53
,鹿児島中央,鹿児島中央,熊本,鹿児島中央
,15,15,11,15
10,みずほ 605,さくら 545,つばめ* 319,
,20,38,47,
,鹿児島中央,鹿児島中央,熊本,
,15,11,16,
11,さくら 547,つばめ 321,,
,28,36,,
,鹿児島中央,熊本,,
,15,15,,
12,さくら 549,みずほ 607,つばめ* 323,
,1,24,47,
,鹿児島中央,鹿児島中央,熊本,
,15,15,11,
13,さくら 551,さくら* 405,,
,1,36,,
,鹿児島中央,鹿児島中央,,
,15,11,,
14,さくら 553,つばめ* 325,,
,1,36,,
,鹿児島中央,熊本,,
,15,11,,
15,さくら 555,つばめ* 327,さくら* 407,
,1,6,36,
,鹿児島中央,熊本,鹿児島中央,
,15,11,11,
16,さくら 557,つばめ* 329,さくら* 409,
,1,6,36,
,鹿児島中央,熊本,鹿児島中央,
,15,11,11,
17,さくら 559,つばめ* 331,さくら* 411,
,1,6,36,
,鹿児島中央,熊本,鹿児島中央,
,15,11,11,
18,さくら 561,つばめ 333,みずほ 609,つばめ* 335
,1,6,24,36
,鹿児島中央,熊本,鹿児島中央,熊本
,15,11,15,11
19,さくら 563,みずほ 611,つばめ* 337,
,1,24,36,
,鹿児島中央,鹿児島中央,熊本,
,15,15,11,
20,さくら 565,つばめ* 339,さくら 567,つばめ* 341
,1,6,25,36
,鹿児島中央,熊本,鹿児島中央,熊本
,15,11,15,11
21,さくら 569,みずほ 613,つばめ* 343,
,1,24,45,
,鹿児島中央,鹿児島中央,鹿児島中央,
,15,15,11,
22,さくら 571,みずほ 615,つばめ* 345,
,1,20,36,
,鹿児島中央,鹿児島中央,熊本,
,15,15,11,
23,さくら 573,,,
,1,,,
,熊本,,,
,15,,,
