Aダイヤ 広島駅 下り時刻表,,,,,
6,みずほ,ひかり591号,さくら,,
,29,38,54,,
,鹿児島中央,博多,鹿児島中央,,
,12,12,12,,
7,こだま(当駅始発),さくら,こだま,,
,10,18,40,,
,博多,鹿児島中央,広島,,
,12,12,12,,
8,ひかり531号,こだま,さくら,ひかり533号,
,4,17,33,52,
,博多,博多,鹿児島中央,広島,
,12,12,12,12,
9,ひかり535号,のぞみ7号,さくら,,
,18,46,50,,
,広島,博多,鹿児島中央,,
,12,12,12,,
10,こだま,ひかり,さくら,,
,13,36,50,,
,博多,岡山,鹿児島中央,,
,12,12,12,,
11,のぞみ,こだま,ひかり,のぞみ,さくら
,1,15,36,46,50
,広島,博多,岡山,広島,鹿児島中央
,12,12,12,12,12
12,こだま,ひかり,のぞみ,さくら,
,15,36,46,50,
,博多,岡山,広島,鹿児島中央,
,12,12,12,12,
13,ひかり,のぞみ,,,
,36,46,,,
,岡山,広島,,,
,12,12,,,
14,ひかり,のぞみ,,,
,36,46,,,
,岡山,広島,,,
,12,12,,,
15,ひかり,のぞみ,,,
,36,46,,,
,岡山,広島,,,
,12,12,,,
16,みずほ,ひかり,のぞみ,,
,22,36,46,,
,鹿児島中央,岡山,広島,,
,12,12,12,,
17,ひかり,のぞみ,さくら,,
,36,46,50,,
,岡山,広島,鹿児島中央,,
,12,12,12,,
18,こだま,ひかり,のぞみ,さくら,
,15,36,46,50,
,博多,岡山,広島,鹿児島中央,
,12,12,12,12,
19,こだま,みずほ,ひかり,のぞみ51号,さくら
,13,22,36,46,50
,博多,鹿児島中央,岡山,博多,鹿児島中央
,12,12,12,12,12
20,こだま,ひかり,のぞみ,さくら,
,13,36,46,50,
,博多,岡山,広島,熊本,
,12,12,12,12,
21,こだま,のぞみ,こだま,,
,18,31,42,,
,広島,広島,岡山,,
,12,12,12,,
22,のぞみ,こだま,のぞみ,のぞみ,こだま
,7,9,19,37,39
,広島,広島,岡山,広島,三原
,12,13,12,12,13
23,こだま,のぞみ91号,,,
,6,16,,,
,岡山,岡山,,,
,12,12,,,
