Aダイヤ 広島駅 下り時刻表,,,,,,,
5,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
6,こだま,さくら401,こだま,,,,
,5,43,53,,,,
,博多,鹿児島中央,博多,,,,
,12,11,12,,,,
7,こだま,みずほ,こだま,さくら,,,
,11,26,38,58,,,
,博多,鹿児島中央,博多,鹿児島中央,,,
,12,11,12,11,,,
8,ひかり,さくら,こだま,のぞみ271,みずほ,,
,0,20,23,37,50,,
,博多,鹿児島中央,博多,博多,鹿児島中央,,
,12,11,11,11,11,,
9,ひかり,こだま,みずほ,のぞみ273,さくら,のぞみ99,のぞみ
,5,7,11,18,33,40,50
,博多,博多,鹿児島中央,博多,鹿児島中央,博多,博多
,11,12,11,11,11,11,11
10,のぞみ,こだま,さくら,のぞみ,のぞみ,さくら,
,3,10,23,28,43,53,
,博多,博多,鹿児島中央,博多,博多,鹿児島中央,
,11,12,11,11,11,11,
11,のぞみ,こだま,みずほ,のぞみ,のぞみ,さくら,
,3,8,21,28,39,54,
,博多,博多,鹿児島中央,博多,博多,鹿児島中央,
,11,12,11,11,11,11,
12,のぞみ,こだま,のぞみ115,のぞみ,さくら,,
,3,8,16,28,54,,
,博多,博多,博多,博多,鹿児島中央,,
,12,12,11,11,11,,
13,のぞみ,こだま,のぞみ,さくら,,,
,3,8,28,52,,,
,博多,博多,博多,鹿児島中央,,,
,11,12,11,11,,,
14,のぞみ,こだま,のぞみ,さくら,,,
,3,8,28,52,,,
,博多,博多,博多,鹿児島中央,,,
,11,12,11,11,,,
15,のぞみ,こだま,のぞみ,さくら,,,
,3,8,28,52,,,
,博多,博多,博多,鹿児島中央,,,
,11,12,11,11,,,
16,のぞみ,こだま,のぞみ,さくら,,,
,3,8,28,52,,,
,博多,博多,博多,鹿児島中央,,,
,11,12,11,11,,,
17,のぞみ,こだま,みずほ,のぞみ,さくら,,
,3,8,20,28,52,,
,博多,博多,鹿児島中央,博多,鹿児島中央,,
,11,12,11,11,11,,
18,のぞみ,こだま,みずほ,のぞみ,さくら,,
,3,8,20,24,52,,
,博多,博多,鹿児島中央,博多,鹿児島中央,,
,11,12,11,11,11,,
19,のぞみ,こだま,さくら,のぞみ,さくら,,
,3,8,13,24,52,,
,博多,博多,鹿児島中央,博多,鹿児島中央,,
,11,12,11,12,11,,
20,のぞみ,こだま,みずほ,のぞみ,のぞみ,さくら,
,3,8,20,28,43,51,
,博多,博多,鹿児島中央,博多,博多,鹿児島中央,
,11,12,11,11,11,12,
21,のぞみ,こだま,みずほ,のぞみ,さくら,,
,3,8,16,28,52,,
,博多,博多,鹿児島中央,博多,熊本,,
,11,12,11,11,11,,
22,のぞみ,こだま,こだま,のぞみ,,,
,3,7,42,45,,,
,博多,博多,新山口,博多,,,
,11,11,11,11,,,
