Aダイヤ 徳山駅 上り時刻表,,,
6,ひかり590号,,
,41,,
,岡山,,
,6,,
7,こだま,こだま,のぞみ
,11,33,59
,岡山,新大阪,東京
,6,6,6
8,こだま,のぞみ,
,12,44,
,新大阪,東京,
,6,6,
9,こだま,さくら,
,3,11,
,岡山,新大阪,
,6,6,
10,こだま,さくら,
,3,11,
,岡山,新大阪,
,6,6,
11,こだま,さくら,
,3,11,
,岡山,新大阪,
,6,6,
12,こだま,さくら,
,3,11,
,岡山,新大阪,
,6,6,
13,こだま,さくら,
,3,11,
,岡山,新大阪,
,6,6,
14,こだま,さくら,
,3,11,
,新大阪,新大阪,
,6,6,
15,こだま,さくら,のぞみ
,3,11,59
,新大阪,新大阪,東京
,6,6,6
16,こだま,さくら,のぞみ
,3,11,59
,新大阪,新大阪,東京
,6,6,6
17,こだま,さくら,
,3,11,
,新大阪,新大阪,
,6,6,
18,こだま,さくら,こだま
,3,11,39
,新大阪,新大阪,岡山
,6,6,6
19,こだま,,
,26,,
,新大阪,,
,6,,
20,こだま,こだま,
,6,30,
,広島,新大阪,
,6,6,
21,こだま,,
,40,,
,岡山,,
,6,,
22,こだま,さくら,
,30,40,
,福山,広島,
,6,6,
