平日ダイヤ 福井駅 下り時刻表,,,,
6,つるぎ,,,
,36,,,
,敦賀,,,
,12,,,
7,つるぎ,つるぎ,,
,10,38,,
,敦賀,敦賀,,
,12,12,,
8,つるぎ,つるぎ,,
,12,38,,
,敦賀,敦賀,,
,12,12,,
9,つるぎ,かがやき,つるぎ,
,08,14,41,
,敦賀,敦賀,敦賀,
,12,12,12,
10,かがやき,つるぎ,つるぎ,
,12,19,41,
,敦賀,敦賀,敦賀,
,12,12,12,
11,かがやき,つるぎ,,
,12,41,,
,敦賀,敦賀,,
,12,12,,
12,かがやき,つるぎ,,
,27,41,,
,敦賀,敦賀,,
,12,12,,
13,かがやき,つるぎ,,
,23,41,,
,敦賀,敦賀,,
,12,12,,
14,つるぎ,はくたか,,
,41,55,,
,敦賀,敦賀,,
,12,12,,
15,つるぎ,つるぎ,はくたか,
,19,40,55,
,敦賀,敦賀,敦賀,
,12,12,12,
16,つるぎ,つるぎ,はくたか,
,18,41,56,
,敦賀,敦賀,敦賀,
,12,12,12,
17,つるぎ,つるぎ,はくたか,
,19,38,56,
,敦賀,敦賀,敦賀,
,12,12,12,
18,つるぎ,つるぎ,はくたか,
,19,41,58,
,敦賀,敦賀,敦賀,
,12,12,12,
19,つるぎ,かがやき,つるぎ,
,15,20,42,
,敦賀,敦賀,敦賀,
,12,12,12,
20,かがやき,つるぎ,,
,22,39,,
,敦賀,敦賀,,
,12,12,,
21,かがやき,つるぎ,,
,18,32,,
,敦賀,敦賀,,
,12,12,,
22,かがやき,,,
,53,,,
,敦賀,,,
,12,,,
23,つるぎ61,,,
,10,,,
,敦賀,,,
,12,,,
