平日ダイヤ 金沢駅 上り時刻表,,,,,,
6,かがやき,はくたか,つるぎ,,,
,02,16,51,,,
,東京,東京,富山,,,
,11,12,11,,,
7,かがやき,はくたか,つるぎ,,,
,03,19,47,,,
,東京,東京,富山,,,
,12,12,11,,,
8,かがやき,はくたか,つるぎ,,,
,09,18,50,,,
,東京,東京,富山,,,
,12,11,12,,,
9,かがやき,はくたか,つるぎ,つるぎ,,
,07,17,30,54,,
,東京,東京,富山,富山,,
,12,12,12,11,,
10,かがやき,つるぎ,はくたか,,,
,05,45,58,,,
,東京,富山,東京,,,
,12,12,12,,,
11,つるぎ,はくたか,,,,
,03,59,,,,
,富山,東京,,,,
,11,11,,,,
12,つるぎ,はくたか,,,,
,38,58,,,,
,富山,東京,,,,
,12,12,,,,
13,つるぎ,はくたか,,,,
,41,58,,,,
,富山,東京,,,,
,12,12,,,,
14,つるぎ,はくたか,,,,
,41,48,,,,
,富山,東京,,,,
,11,12,,,,
15,つるぎ,かがやき,,,,
,41,57,,,,
,富山,東京,,,,
,12,12,,,,
16,はくたか,つるぎ,かがやき,はくたか,,
,07,40,48,53,,
,東京,富山,東京,東京,,
,11,12,12,11,,
17,つるぎ,かがやき,,,,
,39,57,,,,
,富山,東京,,,,
,11,12,,,,
18,はくたか,つるぎ,かがやき,つるぎ,,
,12,37,47,52,,
,東京,富山,東京,富山,,
,12,12,11,12,,
19,はくたか,かがやき,かがやき,つるぎ,,
,05,21,49,54,,
,東京,東京,東京,富山,,
,11,12,12,12,,
20,はくたか,つるぎ,,,,
,20,38,,,,
,東京,富山,,,,
,12,12,,,,
21,かがやき,はくたか590,つるぎ,,,
,03,35,42,,,
,東京,長野,富山,,,
,12,11,12,,,
22,つるぎ,,,,,
,41,,,,,
,富山,,,,,
,12,,,,,
23,つるぎ,,,,,
,27,,,,,
,富山,,,,,
,12,,,,,
