臨時ありダイヤ 敦賀駅 下り時刻表,,,,
5,,,,
,,,,
,,,,
,,,,
6,つるぎ,,,
,57,,,
,当駅止,,,
,11,,,
7,つるぎ,つるぎ,,
,27,59,,
,当駅止,当駅止,,
,14,11,,
8,つるぎ,つるぎ,,
,29,59,,
,当駅止,当駅止,,
,12,11,,
9,つるぎ,かがやき,,
,25,34,,
,当駅止,当駅止,,
,12,14,,
10,つるぎ,かがやき,つるぎ,
,2,28,36,
,当駅止,当駅止,当駅止,
,13,12,11,
11,つるぎ,かがやき,,
,2,29,,
,当駅止,当駅止,,
,12,13,,
12,つるぎ,かがやき,,
,2,43,,
,当駅止,当駅止,,
,11,14,,
13,つるぎ,かがやき,,
,2,39,,
,当駅止,当駅止,,
,13,13,,
14,つるぎ,,,
,2,,,
,当駅止,,,
,11,,,
15,つるぎ,はくたか,つるぎ,
,2,16,36,
,当駅止,当駅止,当駅止,
,11,14,13,
16,つるぎ,はくたか,つるぎ,
,1,16,35,
,当駅止,当駅止,当駅止,
,11,14,11,
17,つるぎ,はくたか,つるぎ,つるぎ
,2,17,36,59
,当駅止,当駅止,当駅止,当駅止
,12,14,13,11
18,はくたか,つるぎ,,
,17,36,,
,当駅止,当駅止,,
,13,13,,
19,つるぎ,はくたか,つるぎ,かがやき
,2,18,32,37
,当駅止,当駅止,当駅止,当駅止
,12,14,11,13
20,つるぎ,かがやき,,
,3,38,,
,当駅止,当駅止,,
,12,13,,
21,つるぎ,かがやき,つるぎ,
,0,34,53,
,当駅止,当駅止,当駅止,
,12,13,13,
22,,,,
,,,,
,,,,
,,,,
23,かがやき,つるぎ61,,
,14,31,,
,当駅止,当駅止,,
,13,12,,
