平日ダイヤ 米子駅 上り時刻表,,,
5,特急やくも,,
,32,,
,岡山,,
,1,,
6,普通,特急やくも,
,08,23,
,新見,岡山,
,3,1,
7,特急やくも,普通,
,30,36,
,岡山,新見,
,1,3,
8,特急やくも,,
,29,,
,岡山,,
,1,,
9,普通,特急やくも,
,11,35,
,生山,岡山,
,3,1,
10,特急やくも,,
,36,,
,岡山,,
,1,,
11,普通,特急やくも,
,15,35,
,新見,岡山,
,2,1,
12,特急やくも,,
,35,,
,岡山,,
,1,,
13,普通,特急やくも,
,21,36,
,新見,岡山,
,5,1,
14,特急やくも,普通,
,37,42,
,岡山,生山,
,1,4,
15,特急やくも,,
,36,,
,岡山,,
,1,,
16,普通,特急やくも,普通
,13,34,57
,新見,岡山,生山
,1,1,5
17,特急やくも,,
,35,,
,岡山,,
,1,,
18,特急やくも,普通,
,22,26,
,岡山,新見,
,1,5,
19,特急やくも,普通,特急ｻﾝﾗｲｽﾞ出雲
,28,41,54
,岡山,新見,東京
,1,1,1
20,,,
,,,
,,,
,,,
21,普通,,
,30,,
,新見,,
,4,,
22,,,
,,,
,,,
,,,
