平日ダイヤ 米子駅 上り時刻表,,,,
4,普通,,,
,50,,,
,倉吉,,,
,1,,,
5,普通,普通,,
,23,54,,
,鳥取,鳥取,,
,1,1,,
6,普通,特急ｽｰﾊﾟｰまつかぜ,,
,30,57,,
,鳥取,鳥取,,
,2,1,,
7,普通,,,
,09,,,
,鳥取,,,
,4,,,
8,普通,特急ｽｰﾊﾟｰまつかぜ,快速とっとりライナー,
,10,19,39,
,鳥取,鳥取,鳥取,
,1,1,4,
9,普通,特急ｽｰﾊﾟｰまつかぜ,,
,24,51,,
,倉吉,鳥取,,
,3,1,,
10,,,,
,,,,
,,,,
,,,,
11,普通,,,
,21,,,
,倉吉,,,
,4,,,
12,特急ｽｰﾊﾟｰまつかぜ,普通,,
,23,43,,
,鳥取,倉吉,,
,1,5,,
13,普通,,,
,40,,,
,鳥取,,,
,5,,,
14,特急ｽｰﾊﾟｰまつかぜ,普通,,
,56,59,,
,鳥取,鳥取,,
,1,5,,
15,普通,,,
,59,,,
,鳥取,,,
,2,,,
16,普通,,,
,50,,,
,鳥取,,,
,1,,,
17,特急ｽｰﾊﾟｰおき,,,
,14,,,
,鳥取,,,
,1,,,
18,普通,特急ｽｰﾊﾟｰまつかぜ,,
,00,38,,
,鳥取,鳥取,,
,5,1,,
19,普通,,,
,11,,,
,鳥取,,,
,1,,,
20,普通,特急ｽｰﾊﾟｰまつかぜ,,
,15,48,,
,鳥取,鳥取,,
,5,1,,
21,普通,,,
,42,,,
,鳥取,,,
,5,,,
22,普通,,,
,43,,,
,倉吉,,,
,1,,,
