Aダイヤ 広島駅 下り時刻表,,,,,,
5,普通,普通,,,,
,40,55,,,,
,緑井,あき亀山,,,,
,3,2,,,,
6,普通,普通,普通,普通,普通,普通
,5,14,18,35,43,54
,緑井,あき亀山,梅林,あき亀山,梅林,あき亀山
,4,2,4,3,4,4
7,普通,普通,普通,普通,普通,
,9,18,31,41,55,
,梅林,あき亀山,緑井,あき亀山,緑井,
,2,4,4,4,2,
8,普通,普通,普通,普通,,
,2,10,17,41,,
,あき亀山,緑井,あき亀山,あき亀山,,
,4,2,4,4,,
9,普通,普通,普通,,,
,3,26,48,,,
,あき亀山,緑井,あき亀山,,,
,4,4,4,,,
10,普通,普通,普通,,,
,8,27,48,,,
,あき亀山,緑井,あき亀山,,,
,4,4,4,,,
11,普通,普通,普通,,,
,8,27,48,,,
,あき亀山,緑井,あき亀山,,,
,4,4,4,,,
12,普通,普通,普通,,,
,8,24,48,,,
,あき亀山,緑井,あき亀山,,,
,4,4,4,,,
13,普通,普通,普通,,,
,8,27,48,,,
,あき亀山,緑井,あき亀山,,,
,4,4,3,,,
14,普通,普通,普通,,,
,8,27,48,,,
,あき亀山,緑井,あき亀山,,,
,4,4,4,,,
15,普通,普通,普通,,,
,6,27,48,,,
,あき亀山,緑井,あき亀山,,,
,4,4,3,,,
16,普通,普通,普通,普通,普通,普通
,3,12,25,34,49,57
,緑井,あき亀山,緑井,あき亀山,緑井,あき亀山
,4,2,2,4,4,4
17,普通,普通,普通,普通,,
,13,26,35,49,,
,緑井,あき亀山,緑井,あき亀山,,
,4,4,4,4,,
18,普通,普通,普通,普通,普通,
,3,12,25,35,49,
,緑井,あき亀山,緑井,あき亀山,緑井,
,4,4,4,4,4,
19,普通,普通,普通,普通,普通,
,3,11,26,35,51,
,あき亀山,緑井,あき亀山,緑井,あき亀山,
,2,2,4,4,4,
20,普通,普通,普通,普通,,
,5,13,26,47,,
,緑井,あき亀山,緑井,あき亀山,,
,4,3,4,4,,
21,普通,普通,普通,普通,,
,3,12,27,47,,
,緑井,あき亀山,緑井,あき亀山,,
,4,4,4,4,,
22,普通,普通,,,,
,9,37,,,,
,あき亀山,あき亀山,,,,
,4,3,,,,
23,普通,普通,,,,
,14,41,,,,
,あき亀山,あき亀山,,,,
,4,4,,,,
