Bダイヤ 京都駅 下り時刻表,,,,
5,普通,,,
,40,,,
,広,,,
,4,,,
6,普通,普通,普通,
,3,30,58,
,広,広,広,
,3,7,5,
7,普通,普通,,
,19,37,,
,広,広,,
,3,5,,
8,普通,普通,,
,5,39,,
,広,広,,
,7,5,,
9,普通,快速,ｅｔＳＥＴＯｒａ,普通
,10,29,32,40
,呉,広,尾道,呉
,7,3,7,3
10,快速,普通,快速,普通
,0,10,30,40
,広,呉,広,呉
,3,7,3,7
11,快速,快速,普通,
,0,30,40,
,広,広,呉,
,3,3,7,
12,快速,快速,普通,
,0,30,40,
,広,広,呉,
,3,3,7,
13,快速,快速,普通,
,0,30,40,
,広,広,呉,
,3,3,7,
14,快速,快速,普通,
,0,30,40,
,広,広,呉,
,3,3,7,
15,快速,普通,快速,普通
,0,10,30,40
,広,呉,広,広
,3,7,3,7
16,快速,普通,快速,普通
,0,10,30,40
,広,呉,広,広
,3,7,3,7
17,快速,普通,快速,普通
,0,10,30,40
,糸崎,広,安浦,糸崎
,3,7,3,7
18,快速,普通,快速,普通
,0,10,30,40
,広,呉,三原,広
,3,5,3,3
19,快速,普通,快速,普通
,0,10,30,50
,広,広,糸崎,広
,3,5,5,5
20,快速,普通,快速,
,10,30,50,
,広,広,竹原,
,5,3,3,
21,普通,普通,,
,10,35,,
,広,安浦,,
,5,5,,
22,普通,普通,,
,10,35,,
,広,広,,
,3,3,,
23,普通,普通,普通,
,2,23,43,
,広,坂,広,
,5,3,5,
