Aダイヤ 広島駅,,,
5,普通,普通,
,41,57,
,三次,狩留家,
,9,9,
6,普通,,
,57,,
,三次,,
,9,,
7,普通,,
,53,,
,三次,,
,9,,
8,普通,普通,
,16,40,
,狩留家,下深川,
,9,9,
9,快速,普通,普通
,0,20,40
,三次,下深川,下深川
,9,9,9
10,普通,普通,普通
,0,22,41
,三次,下深川,下深川
,9,9,9
11,快速,普通,
,2,22,
,三次,狩留家,
,9,9,
12,普通,普通,
,4,41,
,三次,下深川,
,9,9,
13,快速,普通,普通
,0,36,58
,三次,狩留家,下深川
,9,9,9
14,普通,普通,
,38,58,
,三次,下深川,
,9,9,
15,普通,普通,
,19,39,
,狩留家,下深川,
,9,9,
16,快速,普通,普通
,0,21,43
,三次,三次,下深川
,9,9,9
17,普通,普通,普通
,3,23,45
,三次,狩留家,下深川
,9,9,9
18,普通,普通,普通
,5,25,46
,狩留家,三次,下深川
,9,9,9
19,普通,普通,普通
,6,26,46
,三次,下深川,三次
,9,9,9
20,普通,普通,普通
,7,27,48
,狩留家,三次,下深川
,9,9,9
21,普通,普通,
,9,30,
,三次,下深川,
,9,9,
22,普通,普通,
,0,41,
,狩留家,志和口,
,9,9,
23,普通,,
,25,,
,下深川,,
,9,,
