Bダイヤ 広島駅,,,
5,普通,,
,41,,
,三次,,
,9,,
6,普通,普通,
,17,58,
,下深川,三次,
,9,9,
7,普通,,
,58,,
,三次,,
,9,,
8,普通,普通,
,21,47,
,狩留家,下深川,
,9,9,
9,快速,普通,普通
,7,29,49
,三次,下深川,下深川
,9,9,9
10,普通,普通,普通
,10,30,50
,三次,下深川,下深川
,9,9,9
11,快速,普通,
,11,31,
,三次,狩留家,
,9,9,
12,普通,普通,
,7,44,
,三次,狩留家,
,9,9,
13,快速,普通,
,2,37,
,三次,三次,
,9,9,
14,普通,普通,
,20,37,
,下深川,三次,
,9,9,
15,普通,普通,快速
,0,30,58
,下深川,狩留家,三次
,9,9,9
16,普通,普通,
,18,40,
,三次,下深川,
,9,9,
17,快速,普通,普通
,0,21,43
,三次,三次,下深川
,9,9,9
18,快速,普通,普通
,4,24,45
,三次,三次,下深川
,9,9,9
19,普通,普通,普通
,5,27,47
,下深川,下深川,三次
,9,9,9
20,普通,普通,普通
,9,29,50
,下深川,三次,下深川
,9,9,9
21,普通,普通,
,15,48,
,三次,狩留家,
,9,9,
22,普通,,
,45,,
,志和口,,
,9,,
23,普通,,
,28,,
,下深川,,
,9,,
