平日ダイヤ 糸崎駅 下り時刻表,,,,
5,普通,普通,快速,
,5,37,59,
,広,広島,呉線経由広島,
,3,3,3,
6,快速,普通,普通,快速
,6,17,39,52
,岩国,広島,岩国,五日市
,4,3,4,3
7,普通,普通,普通,普通
,8,18,28,45
,三原,五日市,三原,岩国
,3,3,4,3
8,普通,普通,普通,
,16,21,39,
,三原,広,岩国,
,4,3,4,
9,普通,普通,,
,34,53,,
,三原,大野浦,,
,4,3,,
10,普通,普通,普通,
,16,47,53,
,三原,三原,大野浦,
,4,4,3,
11,普通,普通,普通,
,20,44,53,
,三原,三原,大野浦,
,4,4,3,
12,普通,普通,,
,42,53,,
,三原,大野浦,,
,4,3,,
13,普通,普通,普通,
,0,42,53,
,広,三原,岩国,
,3,4,3,
14,普通,普通,,
,27,54,,
,三原,岩国,,
,3,3,,
15,普通,普通,普通,
,0,34,38,
,三原,三原,南岩国,
,4,4,3,
16,普通,普通,普通,普通
,0,8,23,43
,三原,岩国,三原,岩国
,4,3,4,3
17,普通,普通,普通,普通
,14,22,31,55
,三原,広島,広,岩国
,4,3,3,3
18,普通,普通,普通,
,17,31,36,
,三原,岩国,三原,
,4,3,4,
19,普通,普通,普通,
,6,12,39,
,五日市,三原,岩国,
,3,4,3,
20,普通,普通,普通,
,11,25,44,
,岩国,三原,三原,
,4,4,3,
21,普通,普通,,
,15,49,,
,岩国,三原,,
,3,4,,
22,普通,,,
,18,,,
,五日市,,,
,3,,,
23,普通,,,
,3,,,
,三原,,,
,3,,,
0,普通,,,
,4,,,
,三原,,,
,4,,,
