平日ダイヤ 岩国駅 上り時刻表,,,,,
4,普通6両,,,,
,48,,,,
,糸崎,,,,
,6,,,,
5,普通8両,普通4両,普通6両,,
,16,35,56,,
,白市,糸崎,糸崎,,
,6,6,3,,
6,普通6両,普通6両,普通6両,普通8両,快速4両
,11,25,35,41,48
,白市,西条,広,糸崎,広島
,4,6,6,4,6
7,普通8両,普通6両,普通5両,普通6両,普通4両
,00,11,28,40,52
,白市,広島,広島,広,糸崎
,6,6,6,4,4
8,普通5両,普通4両,普通6両,普通6両,
,06,24,39,57,
,西条,白市,白市,糸崎,
,6,6,6,6,
9,普通6両,普通6両,普通6両,,
,17,31,57,,
,広島,広島,糸崎,,
,6,6,3,,
10,普通6両,普通6両,,,
,28,57,,,
,白市,糸崎,,,
,6,6,,,
11,普通4両,普通4両,,,
,25,57,,,
,白市,広島,,,
,6,6,,,
12,普通6両,普通4両,,,
,25,57,,,
,広島,糸崎,,,
,6,6,,,
13,普通6両,普通6両,,,
,25,57,,,
,白市,糸崎,,,
,6,6,,,
14,普通8両,普通4両,,,
,27,57,,,
,白市,広島,,,
,4,6,,,
15,普通6両,普通6両,普通5両,,
,24,40,55,,
,白市,糸崎,白市,,
,6,6,6,,
16,普通6両,普通6両,普通6両,普通6両,
,09,22,38,56,
,西条,糸崎,西条,白市,
,6,3,6,6,
17,普通6両,普通6両,普通6両,普通6両,
,10,27,41,55,
,西条,西条,白市,白市,
,6,3,6,6,
18,普通8両,普通4両,普通6両,普通5両,
,10,24,40,56,
,西条,坂,白市,糸崎,
,6,4,6,6,
19,普通6両,普通5両,普通6両,,
,12,27,46,,
,白市,広,白市,,
,6,6,6,,
20,普通6両,普通6両,,,
,14,36,,,
,広島,白市,,,
,6,6,,,
21,普通6両,普通6両,,,
,00,33,,,
,糸崎,白市,,,
,6,6,,,
22,普通6両,,,,
,09,,,,
,西条,,,,
,6,,,,
23,普通6両,,,,
,05,,,,
,西条,,,,
,6,,,,
