土休日ダイヤ 岩国駅 上り時刻表,,,,,
4,普通6両,,,,
,48,,,,
,糸崎,,,,
,6,,,,
5,普通6両,普通4両,普通6両,,
,16,35,56,,
,白市,糸崎,糸崎,,
,6,6,3,,
6,普通8両,普通6両,普通8両,,
,11,35,48,,
,白市,広島,糸崎,,
,4,6,4,,
7,普通6両,普通4両,普通6両,普通6両,
,00,11,36,52,
,白市,広島,広,糸崎,
,3,6,4,3,
8,普通5両,普通4両,普通6両,普通6両,
,06,25,41,57,
,西条,白市,白市,糸崎,
,6,4,6,6,
9,快速6両,普通6両,普通4両,快速6両,普通6両
,07,12,25,39,57
,広島,白市,白市,広島,糸崎
,3,6,4,6,3
10,普通6両,快速6両,普通5両,,
,28,37,57,,
,広島,広島,広島,,
,6,4,6,,
11,普通6両,普通6両,,,
,25,57,,,
,白市,広島,,,
,6,3,,,
12,普通6両,普通4両,,,
,25,57,,,
,白市,広島,,,
,6,6,,,
13,普通8両,普通4両,,,
,25,57,,,
,広島,糸崎,,,
,6,6,,,
14,普通6両,普通6両,,,
,25,57,,,
,広島,白市,,,
,6,6,,,
15,普通6両,快速6両,普通6両,,
,24,37,56,,
,白市,広島,白市,,
,6,3,6,,
16,普通6両,普通6両,,,
,22,56,,,
,糸崎,白市,,,
,3,6,,,
17,快速6両,普通6両,普通6両,,
,08,27,55,,
,広島,西条,白市,,
,3,6,6,,
18,普通8両,普通4両,普通6両,,
,08,23,40,,
,西条,瀬野,白市,,
,6,4,6,,
19,普通3両,普通6両,普通6両,,
,12,27,46,,
,広島,糸崎,白市,,
,6,4,6,,
20,普通4両,普通6両,,,
,14,36,,,
,白市,白市,,,
,6,6,,,
21,普通4両,普通6両,,,
,00,33,,,
,糸崎,白市,,,
,6,6,,,
22,普通6両,,,,
,09,,,,
,西条,,,,
,6,,,,
23,普通6両,,,,
,05,,,,
,西条,,,,
,6,,,,
