Aダイヤ 三原駅 下り時刻表,,,,,
5,普通,,,,
,34,,,,
,岡山,,,,
,3,,,,
6,普通,,,,
,33,,,,
,糸崎連絡和気,,,,
,4,,,,
7,普通,普通,普通,普通,普通
,6,10,22,38,51
,岡山,糸崎,糸崎連絡岡山,相生,糸崎連絡福山
,3,4,3,3,4
8,普通,普通,普通,普通,
,5,20,29,48,
,糸崎,糸崎,岡山,糸崎,
,3,4,3,1,
9,普通,普通,普通,,
,2,27,48,,
,糸崎,糸崎連絡相生,糸崎,,
,4,4,3,,
10,普通,普通,普通,,
,4,24,57,,
,糸崎連絡岡山,糸崎連絡福山,糸崎連絡岡山,,
,3,3,3,,
11,普通,普通,普通,,
,10,34,53,,
,糸崎,相生,福山,,
,4,3,3,,
12,普通,普通,,,
,3,52,,,
,糸崎連絡福山,糸崎連絡岡山,,,
,4,3,,,
13,普通,普通,普通,,
,8,25,51,,
,糸崎,糸崎連絡相生,糸崎連絡福山,,
,4,1,3,,
14,普通,普通,,,
,5,34,,,
,糸崎,長船,,,
,4,3,,,
15,普通,普通,普通,,
,5,13,44,,
,糸崎,福山,岡山,,
,4,3,3,,
16,普通,普通,普通,普通,
,5,19,40,50,
,糸崎連絡備前片上,糸崎連絡岡山,糸崎連絡播州赤穂,糸崎連絡長船,
,4,3,3,3,
17,普通,普通,普通,,
,20,39,57,,
,糸崎連絡岡山,岡山,糸崎連絡岡山,,
,4,3,4,,
18,普通,普通,普通,,
,29,40,57,,
,岡山,糸崎連絡姫路,日生,,
,3,4,3,,
19,普通,普通,普通,普通,普通
,1,11,22,32,54
,糸崎連絡日生,糸崎,糸崎,糸崎連絡岡山,糸崎
,1,4,1,4,3
20,普通,普通,普通,普通,普通
,0,10,34,46,58
,糸崎,糸崎連絡備前片上,三石,糸崎,岡山
,4,3,3,4,3
21,普通,普通,普通,普通,
,11,25,40,52,
,糸崎,岡山,糸崎,糸崎連絡岡山,
,4,3,4,3,
22,普通,普通,普通,,
,6,10,37,,
,糸崎,糸崎,糸崎連絡岡山,,
,1,4,4,,
23,普通,普通,,,
,16,31,,,
,糸崎,福山,,,
,4,3,,,
