Aダイヤ 岡山駅 下り時刻表,,
5,普通,普通
,23,55
,総社,総社
,10,10
6,普通,普通
,19,44
,備中高松,総社
,10,10
7,普通,普通
,9,33
,備中高松,総社
,10,10
8,普通,普通
,11,36
,総社,総社
,10,10
9,普通,
,29,
,総社,
,10,
10,普通,
,22,
,総社,
,10,
11,普通,
,12,
,総社,
,10,
12,普通,
,12,
,総社,
,10,
13,普通,普通
,3,52
,総社,総社
,10,10
14,普通,普通
,22,52
,総社,総社
,10,10
15,普通,普通
,22,52
,総社,総社
,10,10
16,普通,普通
,22,52
,総社,総社
,10,10
17,普通,普通
,22,52
,総社,総社
,10,10
18,普通,普通
,22,52
,総社,総社
,10,10
19,普通,普通
,22,52
,総社,総社
,10,10
20,普通,
,32,
,総社,
,10,
21,普通,
,17,
,総社,
,10,
22,普通,普通
,5,59
,総社,総社
,10,10
23,普通,
,40,
,総社,
,10,
