Aダイヤ 岡山駅 下り時刻表,,,,,,
5,普通,普通,,,,
,14,56,,,,
,播州赤穂,播州赤穂,,,,
,4,4,,,,
6,普通,普通,普通,特急ｽｰﾊﾟｰいなば,,
,14,21,30,46,,
,姫路,播州赤穂,吉永,鳥取,,
,3,4,4,3,,
7,普通,普通,普通,普通,普通,
,7,21,38,43,51,
,姫路,播州赤穂,西大寺,相生,長船,
,3,3,3,4,4,
8,普通,普通,普通,普通,,
,9,18,30,59,,
,相生,和気,播州赤穂,長船,,
,3,4,4,4,,
9,特急ｽｰﾊﾟｰいなば,普通,普通,普通,,
,13,19,25,33,,
,鳥取,相生,播州赤穂,瀬戸,,
,3,3,4,3,,
10,普通,普通,普通,普通,,
,12,22,47,55,,
,相生,西大寺,瀬戸,播州赤穂,,
,4,3,4,3,,
11,特急ｽｰﾊﾟｰいなば,普通,普通,普通,普通,
,5,12,24,42,54,
,鳥取,相生,西大寺,瀬戸,長船,
,3,4,3,4,4,
12,普通,普通,普通,普通,,
,13,24,41,54,,
,相生,播州赤穂,西大寺,瀬戸,,
,3,4,4,4,,
13,普通,普通,普通,普通,,
,10,24,41,54,,
,相生,西大寺,瀬戸,播州赤穂,,
,4,3,3,4,,
14,特急ｽｰﾊﾟｰいなば,普通,普通,普通,普通,普通
,1,12,22,39,44,56
,鳥取,相生,備前片上,西大寺,和気,播州赤穂
,4,3,3,4,3,3
15,普通,普通,普通,普通,,
,11,25,42,55,,
,相生,長船,相生,播州赤穂,,
,4,3,3,4,,
16,普通,普通,普通,普通,普通,
,12,17,35,44,59,
,相生,長船,播州赤穂,姫路,備前片上,
,3,3,3,3,4,
17,普通,特急ｽｰﾊﾟｰいなば,普通,普通,普通,
,10,24,27,34,49,
,姫路,鳥取,播州赤穂,吉永,備前片上,
,4,3,4,3,4,
18,普通,普通,普通,普通,,
,2,17,33,41,,
,姫路,播州赤穂,三石,長船,,
,4,4,3,4,,
19,普通,普通,普通,普通,普通,
,5,11,17,33,59,
,和気,播州赤穂,姫路,備前片上,姫路,
,4,3,3,3,4,
20,普通,特急ｽｰﾊﾟｰいなば,普通,普通,普通,
,4,19,28,47,51,
,播州赤穂,鳥取,姫路,日生,瀬戸,
,4,3,4,4,3,
21,普通,普通,普通,,,
,10,22,50,,,
,姫路,播州赤穂,姫路,,,
,4,3,3,,,
22,普通,普通,特急ｻﾝﾗｲｽﾞ出雲瀬戸,,,
,3,22,34,,,
,長船,三石,東京,,,
,3,3,4,,,
23,普通,普通,,,,
,0,11,,,,
,三石,備前片上,,,,
,3,3,,,,
