毎日 下関駅 上り時刻表,,,,
5,普通,普通,,
,35,55,,
,岩国,岩国,,
,6,6,,
6,普通,普通,普通*,普通*
,08,22,35,54
,小月,徳山,宇部新川,新山口
,6,8,7,6
7,普通,普通*,,
,15,42,,
,岩国,新山口,,
,6,8,,
8,普通,普通*,普通,
,11,30,51,
,岩国,小月,岩国,
,6,6,6,
9,普通,普通,,
,30,55,,
,岩国,小月,,
,6,6,,
10,普通,,,
,31,,,
,岩国,,,
,6,,,
11,普通,普通,,
,01,36,,
,小月,岩国,,
,6,6,,
12,普通,,,
,31,,,
,岩国,,,
,6,,,
13,普通,普通,,
,01,25,,
,小月,岩国,,
,6,6,,
14,普通,普通,普通,
,00,25,55,
,小月,岩国,小月,
,6,6,6,
15,普通,普通,,
,32,45,,
,岩国,小月,,
,6,6,,
16,普通,普通,普通,
,08,40,59,
,岩国,岩国,小月,
,6,6,6,
17,普通,普通,快速,普通
,20,33,43,53
,岩国,宇部新川,新下関,岩国
,6,6,6,6
18,普通,普通,普通*,
,08,32,46,
,小月,岩国,小月,
,6,6,6,
19,普通,普通,普通*,
,02,35,55,
,徳山,新山口,小月,
,6,6,6,
20,普通,普通,,
,17,37,,
,柳井,小月,,
,6,6,,
21,普通,普通,,
,02,33,,
,厚狭,下松,,
,6,6,,
22,普通*,普通,,
,13,53,,
,新山口,厚狭,,
,6,6,,
23,普通,,,
,33,,,
,厚狭,,,
,6,,,
