Aダイヤ 京都駅 下り時刻表,,,,,,,,,,,,,
5,普通,普通,普通,,,,,,,,,,
,12,36,49,,,,,,,,,,
,橿原神宮前,新田辺,新田辺,,,,,,,,,,
,1,1,1,,,,,,,,,,
6,急行,普通,普通,普通,急行,普通,普通,急行,,,,,
,0,4,14,28,40,42,51,56,,,,,
,橿原神宮前,新田辺,新田辺,橿原神宮前,橿原神宮前,新田辺,新田辺,奈良,,,,,
,1,1,1,1,1,1,1,1,,,,,
7,特急,普通,急行,急行,普通,急行,普通,特急,急行,特急,急行,普通,急行
,5,6,11,22,24,33,36,40,42,50,51,53,58
,橿原神宮前,新田辺,橿原神宮前,天理,新田辺,橿原神宮前,新田辺,橿原神宮前,宮津,奈良,奈良,新田辺,天理
,1,1,1,1,1,1,1,1,1,1,1,1,1
8,急行,普通,特急,急行,普通,急行,普通,特急,急行,普通,急行,特急,普通
,3,6,10,12,18,25,31,35,37,41,47,55,56
,橿原神宮前,新田辺,鳥羽,宮津,新田辺,天理,新田辺,橿原神宮前,橿原神宮前,新田辺,大和西大寺,奈良,新田辺
,1,1,1,1,1,1,1,1,1,1,1,1,1
9,急行,普通,特急,急行,普通,特急,急行,普通,特急,急行,普通,,
,1,6,10,17,21,30,35,37,40,44,52,,
,橿原神宮前,新田辺,賢島,奈良,新田辺,橿原神宮前,宮津,新田辺,奈良,橿原神宮前,新田辺,,
,1,1,1,1,1,1,1,1,1,1,1,,
10,急行,普通,特急,急行,特急,急行,普通,特急,急行,普通,特急,普通,
,1,6,10,15,20,24,26,30,40,42,50,52,
,天理,新田辺,橿原神宮前,橿原神宮前,奈良,奈良,新田辺,橿原神宮前,橿原神宮前,新田辺,奈良,新田辺,
,1,1,1,1,1,1,1,1,1,1,1,1,
11,特急,急行,特急,普通,急行,普通,特急,急行,普通,特急,普通,,
,0,1,10,11,20,26,30,40,42,50,53,,
,あをによし奈良,大和西大寺,橿原神宮前,大和西大寺,橿原神宮前,新田辺,奈良,橿原神宮前,新田辺,橿原神宮前,新田辺,,
,1,1,1,1,1,1,1,1,1,1,1,,
12,急行,特急,普通,急行,普通,特急,急行,普通,特急,普通,,,
,1,10,11,20,26,30,40,42,50,52,,,
,大和西大寺,橿原神宮前,新田辺,橿原神宮前,新田辺,奈良,橿原神宮前,新田辺,橿原神宮前,新田辺,,,
,1,1,1,1,1,1,1,1,1,1,,,
13,特急,急行,特急,普通,急行,普通,特急,急行,普通,特急,普通,,
,0,1,10,11,20,26,30,40,42,50,53,,
,あをによし奈良,大和西大寺,橿原神宮前,新田辺,橿原神宮前,新田辺,奈良,橿原神宮前,新田辺,橿原神宮前,新田辺,,
,1,1,1,1,1,1,1,1,1,1,1,,
14,急行,特急,普通,急行,普通,特急,特急,急行,普通,特急,,,
,1,10,11,20,26,30,40,41,46,50,,,
,大和西大寺,橿原神宮前,新田辺,奈良,新田辺,奈良,あをによし奈良,橿原神宮前,新田辺,橿原神宮前,,,
,1,1,1,1,1,1,1,1,1,1,,,
15,急行,普通,特急,普通,急行,普通,特急,急行,普通,特急,急行,普通,
,0,2,10,11,20,25,35,36,42,50,51,53,
,橿原神宮前,新田辺,橿原神宮前,新田辺,奈良,新田辺,橿原神宮前,橿原神宮前,新田辺,奈良,天理,新田辺,
,1,1,1,1,1,1,1,1,1,1,1,1,
16,急行,普通,特急,特急,急行,普通,特急,急行,普通,特急,急行,普通,
,1,6,10,20,21,25,35,36,41,50,51,56,
,橿原神宮前,新田辺,橿原神宮前,あをによし難波,天理,新田辺,橿原神宮前,橿原神宮前,新田辺,奈良,奈良,新田辺,
,1,1,1,1,1,1,1,1,1,1,1,1,
17,普通,特急,急行,普通,特急,急行,普通,特急,急行,普通,特急,急行,
,6,10,12,21,25,27,35,40,46,51,55,57,
,新田辺,鳥羽,橿原神宮前,新田辺,奈良,橿原神宮前,新田辺,橿原神宮前,橿原神宮前,新田辺,奈良,奈良,
,1,1,1,1,1,1,1,1,1,1,1,1,
18,普通,特急,急行,普通,特急,急行,普通,特急,急行,普通,特急,急行,
,6,10,16,21,25,27,36,40,46,51,55,57,
,新田辺,橿原神宮前,橿原神宮前,新田辺,大和西大寺,大和西大寺,新田辺,橿原神宮前,橿原神宮前,大和西大寺,大和西大寺,大和西大寺,
,1,1,1,1,1,1,1,1,1,1,1,1,
19,普通,特急,急行,普通,急行,特急,普通,急行,普通,特急,急行,,
,2,10,11,19,24,30,35,40,46,50,57,,
,橿原神宮前,橿原神宮前,天理,新田辺,橿原神宮前,奈良,新田辺,大和西大寺,新田辺,橿原神宮前,大和西大寺,,
,1,1,1,1,1,1,1,1,1,1,1,,
20,普通,特急,急行,普通,急行,普通,特急,急行,特急,普通,急行,,
,2,10,11,15,23,26,30,38,45,46,55,,
,新田辺,橿原神宮前,橿原神宮前,新田辺,天理,大和西大寺,大和西大寺,大和西大寺,橿原神宮前,新田辺,橿原神宮前,,
,1,1,1,1,1,1,1,1,1,1,1,,
21,普通,特急,急行,普通,特急,急行,普通,急行,普通,特急,,,
,1,5,10,17,25,27,30,42,51,55,,,
