Bダイヤ 京都駅 下り時刻表,,,,,,,,,,,,,
5,普通,普通,普通,,,,,,,,,,
,12,36,52,,,,,,,,,,
,大和西大寺,大和西大寺,新田辺,,,,,,,,,,
,3,1,1,,,,,,,,,,
6,急行,普通,普通,急行,普通,急行,普通,,,,,,
,4,8,23,34,42,54,56,,,,,,
,橿原神宮前,新田辺,新田辺,橿原神宮前,新田辺,橿原神宮前,新田辺,,,,,,
,4,2,2,1,3,2,3,,,,,,
7,普通,特急V,急行,普通,急行,普通,特急,急行,普通,特急V,急行,普通,
,6,10,15,17,26,31,40,41,43,55,56,59,
,新田辺,鳥羽,橿原神宮前,新田辺,天理,新田辺,橿原神宮前,橿原神宮前,新田辺,奈良,宮津,新田辺,
,3,1,2,4,3,2,1,3,4,2,1,4,
8,急行,特急V,普通,急行,普通,特急,普通,特急,急普,急行,普通,特急V,
,4,10,11,23,26,30,36,40,42,50,52,55,
,橿原神宮前,賢島,新田辺,天理,新田辺,奈良,新田辺,橿原神宮前,橿原神宮前,天理,大和西大寺,奈良,
,3,1,4,3,2,1,3,1,2,3,4,1,
9,急行,普急,特急I,急行,普通,特急,急普,普通,特急,急行,普急,,
,2,6,10,20,22,30,31,37,45,46,48,,
,橿原神宮前,新田辺,賢島,奈良,橿原神宮前,橿原神宮前,天理,新田辺,奈良,橿原神宮前,新田辺,,
,2,4,1,2,3,1,2,4,2,3,4,,
10,特急S,急普,普通,特急,急行,特急,普通,急行,普通,特急V,急普,特急V,普通
,0,2,6,10,14,20,21,29,33,36,40,50,52
,賢島,天理,新田辺,橿原神宮前,橿原神宮前,奈良,新田辺,奈良,新田辺,奈良,橿原神宮前,橿原神宮前,新田辺
,1,3,4,2,3,1,4,3,4,2,3,1,4
11,特急A,急普,特急,普通,急普,準急,普急,特急,急行,普通,特急V,普通,
,0,1,10,11,20,24,26,30,40,42,50,52,
,奈良,奈良,橿原神宮前,橿原神宮前,橿原神宮前,新田辺,橿原神宮前,奈良,橿原神宮前,新田辺,橿原神宮前,新田辺,
,2,3,1,4,2,4,3,1,3,4,2,3,
12,特急,急普,特急,普通,急普,普急,特急,急行,普通,特急,普通,,
,0,1,10,11,20,26,30,40,42,50,52,,
,奈良,奈良,橿原神宮前,橿原神宮前,橿原神宮前,橿原神宮前,奈良,橿原神宮前,新田辺,橿原神宮前,新田辺,,
,1,4,2,3,4,3,1,3,4,1,4,,
13,特急A,急普,特急V,普通,急普,普急,特急,急行,普通,特急,普通,,
,0,1,10,11,20,26,30,40,42,50,52,,
,奈良,橿原神宮前,橿原神宮前,橿原神宮前,奈良,橿原神宮前,奈良,橿原神宮前,新田辺,橿原神宮前,大和西大寺,,
,2,3,1,4,3,4,1,4,3,1,4,,
14,特急,急普,特急V,普通,急普,普急,特急,急行,普通,特急V,普通,,
,0,1,10,11,20,26,30,40,42,50,52,,
,奈良,橿原神宮前,橿原神宮前,大和西大寺,天理,橿原神宮前,奈良,橿原神宮前,新田辺,橿原神宮前,橿原神宮前,,
,2,3,1,4,3,4,1,4,3,1,4,,
15,特急A,急普,特急,普通,急普,普急,特急V,急行,普通,特急,普通,,
,0,1,10,11,20,26,30,40,42,50,52,,
,奈良,橿原神宮前,橿原神宮前,橿原神宮前,天理,橿原神宮前,奈良,橿原神宮前,橿原神宮前,橿原神宮前,橿原神宮前,,
,2,3,1,4,3,4,1,4,3,1,4,,
16,特急,急行,普通,特急,急普,普通,特急V,急行,普通,特急A,急普,特急,普急
,0,1,6,10,16,21,30,31,33,40,42,50,51
,奈良,天理,大和西大寺,橿原神宮前,橿原神宮前,橿原神宮前,奈良,大和西大寺,橿原神宮前,難波,橿原神宮前,橿原神宮前,新田辺
,2,3,4,1,3,4,1,3,4,2,3,1,4
17,急行,普通,特急V,急普,普通,特急I,急普,普通,急行,普急,特急,,
,1,6,10,16,22,30,32,36,44,46,50,,
,天理,大和西大寺,鳥羽,橿原神宮前,橿原神宮前,奈良,天理,大和西大寺,橿原神宮前,橿原神宮前,橿原神宮前,,
,3,4,1,3,4,1,3,4,3,4,2,,
18,特急,急行,普通,特急,急普,普通,特急V,急行,普通,特急,急普,普通,
,0,4,6,10,16,21,30,31,37,45,46,51,
,奈良,大和西大寺,橿原神宮前,橿原神宮前,橿原神宮前,橿原神宮前,奈良,天理,新田辺,橿原神宮前,橿原神宮前,橿原神宮前,
,1,3,4,2,3,4,1,2,3,1,4,3,
19,特急,急行,普通,特急I,急普,普通,特急,急行,普通,特急,急行,普通,
,0,1,6,10,15,21,30,31,36,45,46,51,
,奈良,奈良,橿原神宮前,橿原神宮前,橿原神宮前,大和西大寺,奈良,大和西大寺,天理,橿原神宮前,橿原神宮前,天理,
,2,3,4,1,3,4,1,3,4,1,3,4,
20,特急V,急行,普通,特急,急普,普通,特急,急行,普通,特急,急行,,
,0,1,6,10,16,26,30,38,41,45,54,,
,奈良,大和西大寺,大和西大寺,橿原神宮前,橿原神宮前,大和西大寺,奈良,大和西大寺,大和西大寺,橿原神宮前,橿原神宮前,,
,1,4,3,2,4,3,1,2,4,1,2,,
21,普通,特急,急行,普通,特急I,急行,普通,急普,普通,特急,,,
,1,5,10,16,25,27,33,41,51,55,,,
