Aダイヤ 鶴橋駅 下り時刻表,,,,,,,,,,,,,,,,,,,,,,
5,普通,普通,普通,,,,,,,,,,,,,,,,,,,
,19,40,54,,,,,,,,,,,,,,,,,,,
,大和西大寺,大和西大寺,東花園,,,,,,,,,,,,,,,,,,,
,1,1,1,,,,,,,,,,,,,,,,,,,
6,準急,普通,区準,普通,快急,準急,普通,快急,準急,普通,快急,,,,,,,,,,,
,03,07,16,24,26,32,40,44,47,54,56,,,,,,,,,,,
,大和西大寺,東花園,奈良,東生駒,大和西大寺,大和西大寺,大和西大寺,奈良,大和西大寺,東花園,奈良,,,,,,,,,,,
,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
7,普通,快急,準急,普通,区準,快急,普通,普通,快急,普通,普通,快急,普通,快急,準急,普通,,,,,,
,08,13,16,20,23,26,28,33,38,41,44,47,50,52,55,58,,,,,,
,奈良,奈良,奈良,東花園,奈良,奈良,大和西大寺,大和西大寺,奈良,東花園,奈良,奈良,東生駒,奈良,大和西大寺,東花園,,,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
8,快急,普通,快急,区準,普通,快急,準急,普通,快急,急行,普通,快急,準急,普通,快急,急行,区準,,,,,
,00,02,09,11,14,17,20,24,28,32,38,42,44,47,50,55,57,,,,,
,奈良,東花園,奈良,大和西大寺,大和西大寺,奈良,大和西大寺,東花園,奈良,奈良,奈良,奈良,大和西大寺,東花園,奈良,大和西大寺,大和西大寺,,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
9,普通,快急,区準,普通,特急A,快急,区準,普通,快急,普通,区準,快急,普通,区準,快急,普通,,,,,,
,00,03,11,13,15,18,20,25,28,32,38,40,43,47,50,52,,,,,,
,東花園,奈良,大和西大寺,東花園,京都,奈良,大和西大寺,大和西大寺,奈良,東花園,大和西大寺,大和西大寺,東花園,大和西大寺,奈良,大和西大寺,,,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
10,快急,普通,急行,区準,普通,快急,普通,急行,普通,準急,快急,普通,区準,快急,普通,,,,,,,
,00,02,08,10,12,18,23,27,30,33,38,41,48,50,53,,,,,,,
,大和西大寺,東花園,奈良,大和西大寺,大和西大寺,奈良,東花園,奈良,大和西大寺,大和西大寺,奈良,東花園,大和西大寺,奈良,大和西大寺,,,,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
11,快急,普通,急行,普通,区準,快急,普通,快急,普通,急行,普通,区準,快急,普通,,,,,,,,
,00,02,08,11,18,20,23,30,32,38,41,47,50,53,,,,,,,,
,奈良,大和西大寺,奈良,東花園,大和西大寺,奈良,大和西大寺,奈良,大和西大寺,奈良,東花園,大和西大寺,奈良,大和西大寺,,,,,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
12,快急,普通,急行,普通,区準,快急,普通,快急,普通,急行,普通,区準,快急,普通,,,,,,,,
,00,02,08,11,18,20,23,30,32,38,41,47,50,53,,,,,,,,
,奈良,大和西大寺,奈良,東花園,大和西大寺,奈良,大和西大寺,奈良,大和西大寺,奈良,東花園,奈良,奈良,大和西大寺,,,,,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
13,快急,普通,急行,普通,区準,快急,普通,快急,普通,急行,普通,区準,快急,普通,,,,,,,,
,00,02,08,11,18,20,23,30,32,38,41,47,50,53,,,,,,,,
,奈良,大和西大寺,奈良,東花園,大和西大寺,奈良,大和西大寺,奈良,大和西大寺,奈良,東花園,大和西大寺,奈良,大和西大寺,,,,,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
14,快急,普通,急行,普通,区準,快急,普通,快急,普通,急行,普通,区準,快急,普通,,,,,,,,
,00,02,08,11,18,20,23,30,32,38,41,47,50,53,,,,,,,,
,奈良,大和西大寺,奈良,東花園,大和西大寺,奈良,大和西大寺,奈良,大和西大寺,奈良,東花園,大和西大寺,奈良,大和西大寺,,,,,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
15,快急,普通,急行,普通,区準,快急,普通,快急,普通,急行,普通,区準,快急,普通,,,,,,,,
,00,02,08,11,18,20,23,30,32,38,41,47,50,53,,,,,,,,
,奈良,大和西大寺,奈良,東花園,大和西大寺,奈良,大和西大寺,奈良,大和西大寺,奈良,東花園,奈良,奈良,大和西大寺,,,,,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
16,快急,普通,急行,普通,区準,快急,普通,快急,普通,急行,区準,普通,特急,快急,普通,準急,,,,,,
,00,02,08,11,18,20,23,30,32,38,40,43,45,48,50,56,,,,,,
,奈良,大和西大寺,奈良,東花園,奈良,奈良,大和西大寺,奈良,東花園,奈良,大和西大寺,東生駒,奈良,奈良,東生駒,奈良,,,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
17,快急,普通,準急,普通,快急,普通,急行,特急H,準急,普通,快急,普通,急行,特急,準急,普通,快急,普通,,,,
,00,02,08,10,13,18,23,25,27,30,33,38,43,45,47,50,53,58,,,,
,奈良,東生駒,大和西大寺,大和西大寺,奈良,東生駒,奈良,奈良,大和西大寺,奈良,奈良,東生駒,奈良,奈良,大和西大寺,大和西大寺,大和西大寺,東生駒,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
18,急行,準急,普通,快急,普通,急行,特急H,準急,普通,快急,普通,急行,特急,準急,普通,快急,普通,,,,,
,03,08,10,13,18,23,25,27,30,33,38,43,45,47,50,53,58,,,,,
,奈良,大和西大寺,奈良,奈良,東生駒,奈良,奈良,大和西大寺,大和西大寺,奈良,東生駒,奈良,奈良,奈良,奈良,奈良,東生駒,,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
19,急行,準急,普通,快急,普通,急行,特急H,準急,普通,快急,普通,急行,特急,準急,普通,快急,普通,,,,,
,03,08,10,13,18,23,25,27,30,33,38,43,45,47,50,53,58,,,,,
,奈良,奈良,大和西大寺,奈良,東生駒,奈良,奈良,奈良,奈良,奈良,東生駒,奈良,奈良,大和西大寺,奈良,奈良,石切,,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
20,急行,普通,準急,快急,普通,急行,特急H,区準,普通,快急,準急,特急,普通,急行,区準,,,,,,,
,03,08,10,13,20,23,25,28,33,38,42,45,47,53,58,,,,,,,
,奈良,大和西大寺,大和西大寺,奈良,東花園,奈良,奈良,奈良,奈良,奈良,大和西大寺,奈良,東花園,奈良,奈良,,,,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
