Aダイヤ 鶴橋駅 下り時刻表,,,,,,,,,,,,,,,,,,,,,
5,普通,急行,普通,普通,,,,,,,,,,,,,,,,,
,25,40,42,54,,,,,,,,,,,,,,,,,
,榛原,伊勢中川,名張,榛原,,,,,,,,,,,,,,,,,
,2,2,2,2,,,,,,,,,,,,,,,,,
6,普通,特急V,急行,普通,準急,急行,普通,特急U,区準,急行,普通,特急V,普通,準急,普通,,,,,,
,05,11,17,20,27,30,33,36,41,44,47,49,51,55,58,,,,,,
,大和朝倉,賢島,大和八木,河内国分,名張,五十鈴川,高安,名古屋,榛原,青山町,高安,宇治山田,大和朝倉,五位堂,高安,,,,,,
,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,
7,普通,特急H,急行,特急,区準,普通,急行,普通,準急,普通,急行,特急U,準急,普通,普通,特急,準急,急行,普通,,
,02,06,08,11,12,17,20,22,26,29,33,36,37,40,44,48,50,53,55,,
,河内国分,名古屋,五十鈴川,賢島,榛原,高安,青山町,河内国分,大和朝倉,大和朝倉,伊勢中川,名古屋,五位堂,榛原,大和朝倉,宇治山田,高安,名張,高安,,
,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,,
8,準急,普通,特急H,準急,普通,特急,普通,快急,普通,普通,準急,普通,急行,特急U,普通,準急,普通,特急,普通,快急,
,00,03,06,07,09,12,14,16,19,21,26,28,33,36,38,42,47,53,55,57,
,高安,五位堂,名古屋,高安,高安,賢島,榛原,青山町,高安,河内国分,高安,高安,伊勢中川,名古屋,五位堂,大和朝倉,大和朝倉,宇治山田,高安,松阪,
,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,
9,準急,普通,特急H,普通,急行,特急I,普通,区準,普通,急行,特急U,準急,普通,普通,急行,普通,,,,,
,00,02,06,07,11,14,18,23,28,33,36,38,41,49,52,56,,,,,
,高安,高安,名古屋,高安,青山町,賢島,高安,大和朝倉,大和朝倉,伊勢中川,名古屋,五位堂,高安,高安,名張,高安,,,,,
,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,,,,,
10,区準,特急H,普通,急行,特急I,区準,普通,普通,急行,特急U,区準,普通,特急S,普通,急行,区準,普通,,,,
,01,06,08,13,16,17,19,27,30,36,39,41,46,48,53,56,58,,,,
,大和朝倉,名古屋,高安,青山町,賢島,大和朝倉,大和朝倉,高安,伊勢中川,名古屋,大和朝倉,高安,賢島,高安,名張,大和朝倉,高安,,,,
,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,,,,
11,特急H,普通,急行,特急V,区準,普通,急行,普通,特急U,区準,普通,急行,区準,普通,,,,,,,
,06,09,13,16,19,21,30,33,36,41,48,53,56,58,,,,,,,
,名古屋,高安,青山町,賢島,大和朝倉,高安,伊勢中川,高安,名古屋,大和朝倉,高安,名張,大和朝倉,高安,,,,,,,
,1,2,2,1,2,2,2,2,1,2,2,2,2,2,,,,,,,
12,特急H,普通,急行,特急V,区準,普通,急行,普通,特急U,区準,普通,急行,区準,普通,,,,,,,
,06,09,13,16,18,21,30,33,36,41,48,53,56,58,,,,,,,
,名古屋,高安,青山町,賢島,五位堂,大和朝倉,伊勢中川,高安,名古屋,大和朝倉,高安,名張,大和朝倉,高安,,,,,,,
,1,2,2,1,2,2,2,2,1,2,2,2,2,2,,,,,,,
13,特急H,普通,急行,特急V,区準,普通,急行,普通,特急U,区準,普通,急行,区準,普通,,,,,,,
,06,09,13,16,18,21,30,33,36,41,48,53,56,58,,,,,,,
,名古屋,高安,青山町,賢島,五位堂,大和朝倉,五十鈴川,高安,名古屋,大和朝倉,高安,名張,大和朝倉,高安,,,,,,,
,1,2,2,1,2,2,2,2,1,2,2,2,2,2,,,,,,,
14,特急H,普通,急行,特急,区準,普通,急行,普通,特急U,区準,普通,急行,区準,普通,,,,,,,
,06,09,13,16,18,21,30,33,36,41,48,53,56,58,,,,,,,
,名古屋,高安,青山町,賢島,五位堂,大和朝倉,五十鈴川,高安,名古屋,大和朝倉,高安,名張,大和朝倉,高安,,,,,,,
,1,2,2,1,2,2,2,2,1,2,2,2,2,2,,,,,,,
15,特急H,普通,急行,特急I,普通,区準,急行,普通,特急U,区準,普通,急行,区準,普通,,,,,,,
,06,09,13,16,18,26,30,33,36,42,48,53,56,58,,,,,,,
,名古屋,五位堂,伊勢中川,賢島,高安,大和朝倉,青山町,高安,名古屋,大和朝倉,高安,五十鈴川,大和朝倉,河内国分,,,,,,,
,1,2,2,1,2,2,2,2,1,2,2,2,2,2,,,,,,,
16,準急,特急H,普通,急行,特急V,区準,普通,急行,区準,特急U,普通,急行,普通,準急,普通,,,,,,
,04,06,09,13,16,18,21,28,33,36,38,45,48,56,59,,,,,,
,高安,名古屋,高安,青山町,賢島,大和朝倉,高安,伊勢中川,大和朝倉,名古屋,河内国分,青山町,河内国分,大和朝倉,高安,,,,,,
,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,,,,,,
17,急行,特急H,区準,普通,特急V,急行,準急,普通,特急U,準急,急行,普通,特急,準急,急行,普通,,,,,
,03,06,08,13,16,20,25,29,36,37,40,43,48,53,56,59,,,,,
,宇治山田,名古屋,大和朝倉,河内国分,鳥羽,青山町,大和朝倉,河内国分,名古屋,大和朝倉,伊勢中川,河内国分,松阪,榛原,青山町,河内国分,,,,,
,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,,,,,
18,特急H,準急,快急,普通,特急V,普通,準急,快急,普通,特急U,準急,快急,普通,特急,準急,快急,普通,,,,
,06,08,10,13,16,19,23,26,29,36,37,40,43,48,51,55,59,,,,
,名古屋,名張,名張,高安,五十鈴川,河内国分,大和朝倉,青山町,河内国分,名古屋,榛原,青山町,河内国分,松阪,榛原,松阪,河内国分,,,,
,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,,,,
19,特急H,準急,快急,普通,特急V,普通,準急,快急,普通,特急U,準急,快急,普通,特急,準急,快急,普通,,,,
,06,08,10,13,16,19,23,25,29,36,37,40,43,48,53,55,59,,,,
,名古屋,名張,青山町,高安,宇治山田,河内国分,大和朝倉,青山町,河内国分,名古屋,榛原,鳥羽,河内国分,松阪,大和朝倉,青山町,高安,,,,
,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,,,,
20,特急H,普通,快急,区準,特急,普通,急行,区準,普通,特急U,急行,区準,普通,急行,特急V,区準,,,,,
,06,08,11,13,16,18,23,28,31,36,38,43,47,53,56,59,,,,,
,名古屋,高安,松阪,大和朝倉,松阪,高安,青山町,大和朝倉,高安,名古屋,宇治山田,大和朝倉,高安,名張,松阪,大和朝倉,,,,,
,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,,,,,
21,普通,特急H,急行,区準,特急V,普通,急行,区準,普通,特急U,急行,区準,普通,急行,特急V,区準,,,,,
,02,06,08,13,16,19,23,29,33,36,38,42,48,53,56,59,,,,,
,高安,名古屋,青山町,大和朝倉,松阪,高安,青山町,大和朝倉,高安,名古屋,青山町,大和朝倉,高安,青山町,松阪,大和朝倉,,,,,
,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,,,,,
22,普通,急行,特急,区準,普通,急行,普通,特急U,準急,普通,急行,,,,,,,,,,
,04,08,16,17,19,29,33,36,42,49,54,,,,,,,,,,
,高安,青山町,名張,榛原,五位堂,青山町,大和朝倉,名張,名張,高安,大和八木,,,,,,,,,,
,2,2,1,2,2,2,2,1,2,2,2,,,,,,,,,,
23,区準,普通,特急,急行,普通,区準,急行,普通,区準,普通,,,,,,,,,,,
,03,07,16,18,21,28,41,43,52,56,,,,,,,,,,,
,榛原,高安,名張,青山町,高安,榛原,大和八木,高安,五位堂,高安,,,,,,,,,,,
,2,2,1,2,2,2,2,2,2,2,,,,,,,,,,,
0,普通,,,,,,,,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,
,高安,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,
