Aダイヤ 京都駅 下り時刻表,,,,,,,,,,,,,,
5,普通,普通,普通,,,,,,,,,,,
,12,36,48,,,,,,,,,,,
,橿原神宮前,大和西大寺,新田辺,,,,,,,,,,,
,3,1,1,,,,,,,,,,,
6,急行,普通,急行,普通,急行,普通,準急,普通,,,,,,
,00,02,14,24,37,40,49,56,,,,,,
,橿原神宮前,新田辺,奈良,新田辺,橿原神宮前,新田辺,新田辺,新田辺,,,,,,
,4,1,1,2,3,4,2,4,,,,,,
7,特急,急行,普通,急行,普通,特急,急行,普通,普通,急行,特急,急行,普通,急行
,05,06,08,17,21,30,31,33,40,43,50,51,53,57
,橿原神宮前,橿原神宮前,新田辺,天理,新田辺,橿原神宮前,橿原神宮前,新田辺,新田辺,宮津,奈良,奈良,新田辺,天理
,1,3,2,3,2,1,3,2,3,4,1,4,2,3
8,急行,普通,特急V,急行,普通,急行,普通,特急,急行,普通,急行,普通,特急V,
,00,02,10,11,14,21,25,35,36,38,45,47,55,
,橿原神宮前,宮津,鳥羽,宮津,新田辺,天理,新田辺,橿原神宮前,橿原神宮前,新田辺,奈良,橿原神宮前,奈良,
,4,2,1,3,2,2,3,1,3,2,3,4,1,
9,急行,普通,特急I,準急,普通,特急,急行,普通,特急,急行,普通,急行,急行,
,00,02,10,11,14,25,27,29,40,41,43,48,53,
,橿原神宮前,新田辺,賢島,新田辺,大和西大寺,奈良,奈良,大和西大寺,橿原神宮前,橿原神宮前,新田辺,宮津,奈良,
,3,4,1,2,4,1,2,3,1,3,2,4,3,
10,特急S,普通,特急,急行,普通,特急,急行,普通,特急,急行,普通,特急A,急行,
,00,01,10,11,16,25,26,30,40,41,46,55,56,
,賢島,大和西大寺,橿原神宮前,橿原神宮前,大和西大寺,奈良,奈良,大和西大寺,橿原神宮前,橿原神宮前,大和西大寺,奈良,奈良,
,1,4,2,4,3,1,4,3,2,3,4,1,3,
11,普通,特急,急行,普通,特急,急行,普通,特急V,急行,普通,特急V,急行,,
