Aダイヤ 京都駅 下り時刻表,,,,,,,,,,,,,
5,普通,普通,普通,,,,,,,,,,
,12,36,48,,,,,,,,,,
,大和西大寺,大和西大寺,新田辺,,,,,,,,,,
,3,1,1,,,,,,,,,,
6,急行,普通,急行,普通,急行,普通,普通,,,,,,
,00,03,15,20,33,40,51,,,,,,
,橿原神宮前,新田辺,大和西大寺,新田辺,橿原神宮前,新田辺,新田辺,,,,,,
,4,1,1,3,1,3,2,,,,,,
7,急行,普通,特急,急行,普通,特急,急行,普通,急行,普通,特急,,
,04,06,10,20,22,35,36,39,47,51,55,,
,橿原神宮前,新田辺,鳥羽,天理,新田辺,橿原神宮前,橿原神宮前,新田辺,天理,新田辺,奈良,,
,4,3,1,2,4,1,2,3,2,3,1,,
8,急行,普通,特急V,急行,普通,特急V,急行,普通,特急,急行,普通,特急V,急行
,00,02,10,11,14,25,26,31,40,42,44,55,56
,宮津,新田辺,賢島,橿原神宮前,新田辺,奈良,天理,新田辺,橿原神宮前,橿原神宮前,新田辺,奈良,天理
,2,3,1,2,3,1,2,3,1,2,3,1,2
9,普通,特急I,急行,普通,特急,急行,普通,特急,急行,普通,急行,普通,
,01,10,11,16,25,26,31,40,41,43,53,56,
,新田辺,賢島,橿原神宮前,宮津,奈良,天理,新田辺,橿原神宮前,橿原神宮前,新田辺,奈良,新田辺,
,4,1,3,4,1,3,4,1,2,4,4,3,
10,特急S,準急,特急,急行,普通,特急V,急行,普通,特急,急行,普通,特急A,急行
,00,05,10,11,16,25,26,30,40,41,46,55,56
,賢島,新田辺,橿原神宮前,橿原神宮前,大和西大寺,奈良,奈良,大和西大寺,橿原神宮前,橿原神宮前,新田辺,奈良,奈良
,1,4,2,3,4,2,4,3,1,3,4,2,4
11,普通,特急,急行,普通,特急,急行,普通,特急V,急行,普通,特急V,急行,
,01,10,11,16,25,26,31,40,41,46,55,56,
