Aダイヤ 奈良駅 上り時刻表,,,,,,,,,,,,,,,,
5,区間準急,快速急行,区間準急,急行,快速急行,,,,,,,,,,,
,07,18,31,41,50,,,,,,,,,,,
,尼崎,大阪難波,尼崎,京都,尼崎,,,,,,,,,,,
,3,2,2,3,2,,,,,,,,,,,
6,特急,快速急行,快速急行,区間準急,特急H,快速急行,急行,快速急行,区間準急,特急H,普通,快速急行,特急,,,
,00,02,13,16,23,29,35,39,42,48,49,53,58,,,
,京都,大阪難波,尼崎,大阪難波,大阪難波,神戸三宮,京都,大阪難波,大阪難波,大阪難波,尼崎,大阪難波,京都,,,
,3,2,2,4,3,2,4,1,2,3,4,1,4,,,
7,快速急行,急行,快速急行,急行,快速急行,特急U,準急,快速急行,特急,区間準急,急行,快速急行,,,,
,04,08,13,16,22,28,29,35,40,43,46,53,,,,
,神戸三宮,京都,神戸三宮,京都,神戸三宮,大阪難波,大阪難波,神戸三宮,京都,大阪難波,国際会館,尼崎,,,,
,2,3,1,4,1,3,2,1,4,2,3,1,,,,
8,特急H,快速急行,区間準急,快速急行,区間準急,快速急行,区間準急,特急,快速急行,急行,快速急行,区間準急,特急,急行,,
,00,05,07,14,17,26,28,33,36,41,45,47,53,55,,
,大阪難波,神戸三宮,大阪難波,大阪難波,尼崎,尼崎,尼崎,京都,大阪難波,京都,大阪難波,大阪難波,大阪難波,大阪難波,,
,4,1,2,1,2,1,2,4,1,1,1,2,4,1,,
9,特急,快速急行,区間準急,急行,特急,快速急行,快速急行,普通,特急,快速急行,快速急行,急行,区間準急,特急,特急A,快速急行
,00,04,06,09,13,14,22,24,30,33,41,43,45,50,52,56
,京都,尼崎,尼崎,国際会館,大阪難波,神戸三宮,大阪難波,大阪難波,京都,尼崎,神戸三宮,京都,尼崎,大阪難波,京都,神戸三宮
,4,1,2,1,4,1,1,1,4,1,1,1,2,4,4,1
10,普通,急行,特急,急行,快速急行,急行,特急,普通,快速急行,急行,特急,快速急行,,,,
,00,04,10,14,16,24,27,30,36,46,55,56,,,,
,大阪難波,大阪難波,京都,国際会館,神戸三宮,大阪難波,京都,尼崎,神戸三宮,京都,京都,神戸三宮,,,,
,1,1,4,1,1,1,4,1,1,1,4,1,,,,
11,急行,特急,快速急行,急行,快速急行,普通,急行,急行,特急A,快速急行,,,,,,
,06,10,16,26,36,38,44,46,55,56,,,,,,
,大阪難波,京都,神戸三宮,大阪難波,神戸三宮,大阪難波,京都,大阪難波,京都,神戸三宮,,,,,,
,1,4,1,1,1,1,1,1,4,1,,,,,,
12,急行,特急,急行,快速急行,急行,区間準急,快速急行,急行,急行,特急,快速急行,普通,,,,
,06,10,14,16,26,29,36,44,46,55,56,59,,,,
,大阪難波,京都,京都,神戸三宮,大阪難波,尼崎,神戸三宮,京都,大阪難波,京都,神戸三宮,大阪難波,,,,
,1,4,1,1,1,2,1,1,1,4,1,1,,,,
13,急行,特急,急行,快速急行,急行,快速急行,急行,急行,特急A,快速急行,,,,,,
,06,10,14,16,26,36,44,46,55,56,,,,,,
,大阪難波,京都,京都,神戸三宮,大阪難波,神戸三宮,京都,大阪難波,京都,神戸三宮,,,,,,
,1,4,1,1,1,1,1,1,4,1,,,,,,
14,急行,特急,急行,快速急行,普通,急行,快速急行,普通,急行,急行,特急,快速急行,普通,,,
,06,10,14,16,19,26,36,39,44,46,55,57,59,,,
,大阪難波,京都,京都,神戸三宮,大阪難波,大阪難波,神戸三宮,尼崎,京都,大阪難波,京都,神戸三宮,尼崎,,,
,1,4,1,1,1,1,1,1,1,1,4,1,1,,,
15,急行,特急,急行,特急,快速急行,急行,急行,快速急行,普通,急行,急行,快速急行,特急A,普通,,
,06,10,12,17,18,21,26,34,37,41,45,53,55,58,,
,大阪難波,京都,国際会館,大阪難波,神戸三宮,京都,大阪難波,神戸三宮,尼崎,国際会館,大阪難波,大阪難波,京都,尼崎,,
,1,4,1,4,1,1,1,1,1,1,1,1,4,1,,
16,特急,快速急行,準急,急行,普通,特急,快速急行,準急,急行,特急,快速急行,区間準急,急行,,,
,03,04,11,16,19,25,31,42,44,50,52,55,59,,,
,大阪難波,神戸三宮,大阪難波,京都,尼崎,京都,神戸三宮,大阪難波,京都,京都,神戸三宮,大阪難波,国際会館,,,
,4,1,2,1,1,4,1,2,1,4,1,2,1,,,
17,急行,快速急行,普通,急行,急行,特急,快速急行,特急A,急行,急行,普通,特急,快速急行,,,
,05,12,15,17,21,25,31,36,38,43,47,50,53,,,
,大阪難波,神戸三宮,尼崎,京都,大阪難波,京都,神戸三宮,大阪難波,国際会館,大阪難波,尼崎,京都,神戸三宮,,,
,1,1,1,1,1,4,1,4,1,1,1,4,1,,,
18,急行,急行,快速急行,特急,急行,急行,快速急行,特急,急行,準急,急行,快速急行,,,,
,03,07,13,20,23,31,33,40,43,45,47,53,,,,
,大阪難波,国際会館,神戸三宮,京都,大阪難波,国際会館,神戸三宮,大阪難波,大阪難波,大阪難波,京都,神戸三宮,,,,
,1,1,1,4,1,1,1,4,1,2,1,1,,,,
19,急行,急行,快速急行,準急,特急,急行,快速急行,準急,特急,急行,準急,快速急行,,,,
,03,09,11,16,20,24,32,37,42,46,49,54,,,,
,大阪難波,国際会館,神戸三宮,大阪難波,京都,京都,神戸三宮,大阪難波,大阪難波,国際会館,大阪難波,神戸三宮,,,,
,1,1,1,2,4,1,1,2,4,1,2,1,,,,
20,特急H,急行,急行,快速急行,特急,準急,急行,快速急行,普通,快速急行,普通,区間準急,,,,
,03,06,12,15,20,25,27,35,41,48,53,56,,,,
,大阪難波,大阪難波,京都,神戸三宮,京都,大阪難波,京都,神戸三宮,大和西大寺,大阪難波,大和西大寺,大阪難波,,,,
,4,1,1,1,4,2,1,1,1,1,1,2,,,,
21,快速急行,普通,快速急行,準急,快速急行,急行,快速急行,急行,,,,,,,,
,00,08,13,22,33,39,48,57,,,,,,,,
,大阪難波,京都,尼崎,大阪難波,尼崎,京都,尼崎,大阪難波,,,,,,,,
,1,1,1,2,1,1,1,1,,,,,,,,
22,普通,快速急行,普通,快速急行,普通,区間準急,快速急行,普通,,,,,,,,
,02,15,24,31,38,46,52,55,,,,,,,,
,大和西大寺,大阪難波,東花園,尼崎,大和西大寺,大阪難波,大阪難波,尼崎,,,,,,,,
,1,1,1,1,1,2,1,1,,,,,,,,
23,快速急行,普通,普通,普通,普通,普通,,,,,,,,,,
,06,17,21,30,39,51,,,,,,,,,,
,大阪難波,大和西大寺,東花園,大和西大寺,東花園,東花園,,,,,,,,,,
,1,1,1,1,1,1,,,,,,,,,,
0,普通,普通,普通,普通,,,,,,,,,,,,
,00,11,20,31,,,,,,,,,,,,
,東花園,大和西大寺,大和西大寺,大和西大寺,,,,,,,,,,,,
,1,1,1,1,,,,,,,,,,,,
