Aダイヤ 奈良駅 下り時刻表,,,,,,,,,,,,,,,,,,,,,,,,
5,区間準急,急行,快速急行,区間準急,,,,,,,,,,,,,,,,,,,,
,09,20,35,50,,,,,,,,,,,,,,,,,,,,
,尼崎,京都,大阪難波,尼崎,,,,,,,,,,,,,,,,,,,,
,3,3,2,2,,,,,,,,,,,,,,,,,,,,
6,快速急行,快速急行,特急,快速急行,快速急行,準急,快速急行,区間準急,快速急行,区間準急,,,,,,,,,,,,,,
,03,13,17,23,33,35,43,47,54,56,,,,,,,,,,,,,,
,大阪難波,尼崎,京都,大阪難波,尼崎,尼崎,大阪難波,尼崎,神戸三宮,尼崎,,,,,,,,,,,,,,
,2,2,3,2,4,3,1,3,2,4,,,,,,,,,,,,,,
7,特急H,快速急行,快速急行,特急V,快速急行,区間準急,快速急行,急行,快速急行,特急,特急H,快速急行,,,,,,,,,,,,
,03,06,15,20,23,28,33,43,45,52,54,56,,,,,,,,,,,,
,大阪難波,尼崎,神戸三宮,京都,大阪難波,尼崎,神戸三宮,国際会館,大阪難波,京都,大阪難波,神戸三宮,,,,,,,,,,,,
,3,1,1,4,1,2,1,3,1,4,3,1,,,,,,,,,,,,
8,快速急行,快速急行,特急I,快速急行,特急V,快速急行,快速急行,区間準急,特急,快速急行,普通,,,,,,,,,,,,,
,03,13,25,26,35,37,47,49,55,56,58,,,,,,,,,,,,,
,大阪難波,神戸三宮,京都,大阪難波,大阪難波,神戸三宮,大阪難波,尼崎,京都,神戸三宮,大阪難波,,,,,,,,,,,,,
,1,1,3,1,4,1,1,4,3,2,4,,,,,,,,,,,,,
9,急行,急行,特急V,快速急行,普通,特急,急行,区間準急,快速急行,急行,区間準急,特急A,急行,快速急行,,,,,,,,,,
,03,10,13,15,19,25,26,28,36,46,48,51,52,56,,,,,,,,,,
,大阪難波,国際会館,大阪難波,神戸三宮,大阪難波,京都,大阪難波,尼崎,神戸三宮,大阪難波,尼崎,京都,国際会館,神戸三宮,,,,,,,,,,
,1,4,3,2,1,4,2,3,1,1,2,4,3,1,,,,,,,,,,
10,急行,特急,特急I,快速急行,普通,急行,快速急行,特急V,急行,急行,急行,快速急行,,,,,,,,,,,,
,03,10,12,16,22,26,36,40,44,46,53,56,,,,,,,,,,,,
,大阪難波,京都,大阪難波,神戸三宮,新田辺,大阪難波,神戸三宮,京都,京都,大阪難波,国際会館,神戸三宮,,,,,,,,,,,,
,2,3,4,1,3,1,1,4,3,1,3,1,,,,,,,,,,,,
11,急行,特急,急行,快速急行,急行,快速急行,急行,急行,特急A,快速急行,,,,,,,,,,,,,,
,06,10,14,16,26,36,44,46,55,56,,,,,,,,,,,,,,
,大阪難波,京都,京都,神戸三宮,大阪難波,神戸三宮,京都,大阪難波,京都,神戸三宮,,,,,,,,,,,,,,
,2,4,3,1,2,2,3,1,4,1,,,,,,,,,,,,,,
12,急行,特急,急行,快速急行,急行,快速急行,急行,急行,特急V,快速急行,,,,,,,,,,,,,,
,06,10,14,16,26,36,44,46,55,56,,,,,,,,,,,,,,
,大阪難波,京都,京都,神戸三宮,大阪難波,神戸三宮,京都,大阪難波,京都,神戸三宮,,,,,,,,,,,,,,
,2,3,4,1,2,2,4,1,3,1,,,,,,,,,,,,,,
13,急行,特急V,急行,快速急行,普通,急行,快速急行,急行,急行,特急A,快速急行,,,,,,,,,,,,,
,06,10,14,16,19,26,36,44,46,55,56,,,,,,,,,,,,,
,大阪難波,京都,京都,神戸三宮,大阪難波,大阪難波,神戸三宮,京都,大阪難波,京都,神戸三宮,,,,,,,,,,,,,
,2,4,3,1,4,1,1,4,1,3,1,,,,,,,,,,,,,
14,急行,特急,急行,快速急行,急行,快速急行,急行,急行,特急V,快速急行,,,,,,,,,,,,,,
,06,10,14,16,26,36,44,46,55,56,,,,,,,,,,,,,,
,大阪難波,京都,京都,神戸三宮,大阪難波,神戸三宮,京都,大阪難波,京都,神戸三宮,,,,,,,,,,,,,,
,2,3,4,1,1,1,3,1,4,1,,,,,,,,,,,,,,
15,急行,特急,急行,快速急行,急行,快速急行,普通,急行,特急A,快速急行,,,,,,,,,,,,,,
,04,10,14,16,26,36,40,46,55,56,,,,,,,,,,,,,,
,大阪難波,京都,京都,神戸三宮,大阪難波,神戸三宮,大阪難波,京都,京都,神戸三宮,,,,,,,,,,,,,,
,2,3,4,1,1,1,2,3,4,1,,,,,,,,,,,,,,
16,急行,特急H,急行,快速急行,急行,特急,急行,区間準急,快速急行,急行,急行,快速急行,普通,,,,,,,,,,,
,03,08,13,16,19,25,26,28,32,43,46,56,58,,,,,,,,,,,
