Aダイヤ 鶴橋駅 上り時刻表,,,,,,,,,,,,,,,,,,,
5,普通,区間急行,普通,普通,,,,,,,,,,,,,,,
,23,36,42,53,,,,,,,,,,,,,,,
,榛原,名張,名張,榛原,,,,,,,,,,,,,,,
,2,2,2,2,,,,,,,,,,,,,,,
6,普通,特急,区間急行,普通,準急,急行,普通,特急,区間準急,急行,特急,普通,準急,普通,,,,,
,04,11,14,19,28,31,33,36,41,45,49,50,56,58,,,,,
,大和朝倉,賢島,大和八木,河内国分,名張,五十鈴川,高安,名古屋,榛原,青山町,宇治山田,大和朝倉,五位堂,高安,,,,,
,2,1,2,2,2,2,2,1,2,2,1,2,2,2,,,,,
7,普通,特急H,急行,特急,区間準急,普通,普通,準急,普通,急行,特急U,準急,普通,普通,特急,準急,急行,普通,
,02,06,09,11,12,14,22,26,29,32,36,37,40,44,48,50,52,55,
,河内国分,名古屋,五十鈴川,賢島,榛原,高安,河内国分,大和朝倉,大和朝倉,伊勢中川,名古屋,五位堂,五位堂,大和朝倉,宇治山田,高安,名張,高安,
,2,1,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,
8,準急,普通,特急H,普通,特急,普通,快速急行,普通,普通,準急,普通,急行,特急U,普通,準急,普通,特急,普通,快速急行
,00,02,06,09,12,14,16,19,21,26,29,33,36,38,42,47,53,55,57
,高安,五位堂,名古屋,高安,賢島,大和朝倉,青山町,高安,河内国分,高安,高安,伊勢中川,名古屋,五位堂,大和朝倉,大和朝倉,宇治山田,高安,松阪
,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2
9,準急,普通,特急H,普通,区間急行,特急,普通,普通,区間急行,普通,特急U,普通,区間急行,普通,普通,区間急行,,,
,00,02,06,08,11,14,17,23,28,32,36,40,44,47,55,59,,,
,高安,高安,名古屋,大和朝倉,青山町,賢島,大和朝倉,高安,名張,大和朝倉,名古屋,高安,榛原,大和朝倉,高安,青山町,,,
,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,,,
10,普通,特急H,普通,区間急行,特急,普通,普通,区間急行,普通,特急U,区間急行,特急S,普通,区間急行,,,,,
,03,06,09,14,16,17,22,28,32,36,44,46,48,59,,,,,
,大和朝倉,名古屋,高安,榛原,賢島,大和朝倉,高安,名張,大和朝倉,名古屋,榛原,賢島,大和朝倉,名張,,,,,
,2,1,2,2,1,2,2,2,2,1,2,1,2,2,,,,,
11,普通,特急H,区間急行,特急,普通,区間急行,普通,特急U,区間急行,普通,区間急行,,,,,,,,
,02,06,14,16,17,28,32,36,44,47,58,,,,,,,,
,大和朝倉,名古屋,榛原,賢島,大和朝倉,名張,高安,名古屋,榛原,大和朝倉,青山町,,,,,,,,
