Aダイヤ 名古屋駅 上り時刻表,,,,,,,,,,,,,,,,,
5,普通,急行,普通,急行,特急U,,,,,,,,,,,,
,18,30,36,50,58,,,,,,,,,,,,
,津新町,鳥羽,津新町,伊勢中川,大阪難波,,,,,,,,,,,,
,1,3,1,3,5,,,,,,,,,,,,
6,普通,急行,普通,特急U,急行,普通,特急,急行,,,,,,,,,
,1,10,21,30,31,41,50,51,,,,,,,,,
,伊勢中川,鳥羽,白塚,大阪難波,松阪,津新町,賢島,伊勢中川,,,,,,,,,
,1,3,1,5,3,1,5,3,,,,,,,,,
7,特急H,普通,特急,急行,普通,特急U,急行,普通,準急,急行,準急,特急,普通,,,,
,0,1,10,11,15,30,31,33,37,41,47,50,51,,,,
,大阪難波,伊勢中川,賢島,松阪,津新町,大阪難波,宇治山田,津新町,富吉,伊勢中川,富吉,五十鈴川,白塚,,,,
,5,1,4,3,1,5,3,1,2,3,2,4,1,,,,
8,特急H,急行,普通,特急U,急行,準急,特急H,普通,特急U,準急,普通,急行,準急,特急U,普通,,
,0,1,5,10,15,18,20,21,30,31,33,40,45,50,51,,
,大阪難波,伊勢中川,富吉,賢島,五十鈴川,四日市,大阪難波,塩浜,大阪難波,富吉,津新町,松阪,富吉,五十鈴川,塩浜,,
,5,3,1,4,3,2,5,1,5,2,1,3,2,4,1,,
9,特急H,急行,特急V,普通,急行,特急I,準急,特急U,普通,急行,準急,特急,普通,,,,
,0,1,10,11,21,25,26,30,31,41,42,50,51,,,,
,大阪難波,松阪,鳥羽,津新町,五十鈴川,賢島,富吉,大阪難波,津新町,松阪,富吉,五十鈴川,富吉,,,,
,5,3,5,1,3,5,2,4,1,3,2,5,1,,,,
10,特急H,急行,準急,特急I,普通,急行,特急S,準急,特急U,普通,急行,特急,普通,,,,
,0,1,3,10,11,21,25,28,30,31,41,50,51,,,,
,大阪難波,松阪,四日市,賢島,富吉,五十鈴川,賢島,四日市,大阪難波,津新町,松阪,五十鈴川,富吉,,,,
,5,3,2,5,1,3,5,2,4,1,3,5,1,,,,
11,特急H,急行,準急,特急V,普通,急行,準急,特急U,普通,急行,特急,普通,,,,,
,0,1,8,10,11,21,28,30,31,41,50,51,,,,,
,大阪難波,松阪,四日市,賢島,富吉,五十鈴川,四日市,大阪難波,津新町,松阪,五十鈴川,富吉,,,,,
,5,3,2,4,1,3,2,4,1,3,5,1,,,,,
12,特急H,急行,準急,特急U,普通,急行,準急,特急U,普通,急行,特急V,普通,,,,,
,0,1,8,10,11,21,28,30,31,41,50,51,,,,,
,大阪難波,松阪,四日市,賢島,富吉,五十鈴川,四日市,大阪難波,津新町,松阪,五十鈴川,富吉,,,,,
,5,3,2,4,1,3,2,4,1,3,5,1,,,,,
13,特急H,急行,準急,特急,普通,急行,準急,特急U,普通,急行,特急U,普通,,,,,
,0,1,8,10,11,21,28,30,31,41,50,51,,,,,
,大阪難波,松阪,四日市,賢島,富吉,宇治山田,四日市,大阪難波,伊勢中川,宇治山田,鳥羽,富吉,,,,,
,5,3,2,4,1,3,2,5,1,3,5,1,,,,,
14,特急H,急行,準急,特急V,普通,急行,準急,特急U,普通,急行,特急U,普通,,,,,
,0,1,8,10,11,21,28,30,31,41,50,51,,,,,
,大阪難波,松阪,四日市,賢島,富吉,松阪,四日市,大阪難波,津新町,五十鈴川,鳥羽,富吉,,,,,
,5,3,2,4,1,3,2,5,1,3,5,1,,,,,
15,特急H,急行,準急,特急I,普通,急行,準急,特急U,普通,急行,特急,普通,,,,,
,0,1,8,10,11,21,28,30,31,41,50,51,,,,,
,大阪難波,松阪,四日市,賢島,富吉,松阪,四日市,大阪難波,津新町,五十鈴川,鳥羽,富吉,,,,,
,5,3,2,4,1,3,2,5,1,3,5,1,,,,,
16,特急H,急行,普通,準急,特急I,急行,普通,特急H,特急U,普通,急行,特急U,普通,,,,
,0,1,3,8,10,17,19,25,30,31,41,50,51,,,,
,大阪難波,松阪,富吉,四日市,賢島,宇治山田,津新町,大阪難波,大阪難波,津新町,宇治山田,鳥羽,伊勢中川,,,,
,5,3,1,2,4,3,1,5,4,1,3,4,1,,,,
17,特急H,急行,普通,特急U,準急,急行,普通,特急H,特急U,準急,普通,急行,特急,普通,準急,,
,0,1,5,10,11,18,20,25,30,32,33,41,45,46,52,,
,大阪難波,松阪,富吉,賢島,四日市,五十鈴川,富吉,大阪難波,大阪難波,四日市,津新町,伊勢中川,五十鈴川,富吉,四日市,,
,5,3,1,4,2,3,1,5,4,2,1,3,5,1,2,,
18,特急H,特急,急行,普通,準急,特急V,急行,普通,特急H,特急U,急行,普通,準急,特急,普通,急行,準急
,0,2,3,5,9,15,16,20,25,30,31,33,39,45,46,50,53
,大阪難波,五十鈴川,津新町,富吉,四日市,賢島,五十鈴川,四日市,大阪難波,大阪難波,松阪,富吉,四日市,鳥羽,富吉,松阪,四日市
,5,4,3,1,2,4,3,1,5,4,3,1,2,5,1,3,2
19,特急H,特急,普通,急行,特急V,準急,普通,特急U,急行,普通,準急,特急,急行,普通,,,
,0,2,3,11,15,19,21,30,33,34,42,45,48,51,,,
,大阪難波,五十鈴川,津新町,松阪,松阪,四日市,富吉,大阪難波,松阪,富吉,四日市,賢島,宇治山田,津新町,,,
,5,4,1,3,4,2,1,4,3,1,2,5,3,1,,,
20,特急H,普通,特急,急行,普通,特急U,急行,普通,特急V,急行,普通,,,,,,
,0,1,10,11,20,30,31,40,45,50,54,,,,,,
,大阪難波,津新町,松阪,鳥羽,四日市,大阪難波,五十鈴川,伊勢中川,五十鈴川,松阪,富吉,,,,,,
,5,1,5,3,1,5,3,1,5,3,1,,,,,,
21,特急H,急行,特急U,準急,普通,特急U,急行,普通,特急,準急,普通,,,,,,
,0,4,10,11,19,30,31,35,45,46,51,,,,,,
,大阪難波,伊勢中川,鳥羽,四日市,塩浜,大阪難波,津新町,富吉,宇治山田,四日市,白塚,,,,,,
,5,3,4,2,1,4,3,1,4,2,1,,,,,,
22,急行,特急I,普通,準急,特急U,普通,急行,特急I,普通,準急,,,,,,,
,0,5,8,17,25,26,34,45,48,55,,,,,,,
,伊勢中川,松阪,富吉,四日市,松阪,四日市,津新町,松阪,富吉,四日市,,,,,,,
,3,5,1,2,5,1,3,5,1,2,,,,,,,
23,急行,特急,普通,準急,普通,準急,普通,,,,,,,,,,
,3,10,11,20,29,40,45,,,,,,,,,,
,津新町,津,桑名,富吉,富吉,四日市,富吉,,,,,,,,,,
,3,5,1,2,1,2,1,,,,,,,,,,
0,普通,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,
,富吉,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,
