Aダイヤ 伊勢中川駅 下り時刻表,,,,,,,,
5,普通,急行,,,,,,
,24,50,,,,,,
,名張,名張,,,,,,
,4,4,,,,,,
6,特急V,急行,普通,急行,特急,普通,特急V,急行
,01,08,12,26,29,32,47,52
,上本町,名張,青山町,名張,上本町,東青山,京都,名張
,4,4,2,4,4,6,4,4
7,普通,特急V,急行,普通,普通,特急V,,
,00,12,15,32,45,54,,
,名張,上本町,上本町,名張,東青山,難波,,
,2,4,3,6,6,4,,
8,急行,特急V,普通,特急,普通,,,
,05,17,24,34,44,,,
,上本町,上本町,名張,京都,東青山,,,
,3,4,6,5,6,,,
9,急行,特急V,普通,急行,,,,
,07,11,42,54,,,,
,上本町,難波,東青山,上本町,,,,
,5,4,6,4,,,,
10,特急V,普通,普通,急行,,,,
,10,12,42,56,,,,
,難波,名張,東青山,上本町,,,,
,4,6,6,4,,,,
11,特急,普通,急行,,,,,
,10,42,56,,,,,
,難波,東青山,上本町,,,,,
,4,6,4,,,,,
12,特急,普通,急行,,,,,
,10,42,56,,,,,
,難波,東青山,上本町,,,,,
,4,6,4,,,,,
13,特急I,普通,急行,,,,,
,10,42,56,,,,,
,難波,東青山,上本町,,,,,
,4,6,4,,,,,
14,特急I,普通,急行,,,,,
,10,42,56,,,,,
,難波,東青山,上本町,,,,,
,4,6,4,,,,,
15,特急V,普通,特急I,普通,急行,,,
,10,12,30,37,48,,,
,難波,名張,京都,東青山,名張,,,
,4,6,4,6,4,,,
16,普通,特急V,特急V,普通,急行,特急V,,
,03,10,30,32,42,54,,
,名張,難波,京都,東青山,上本町,上本町,,
,6,4,5,2,4,4,,
17,普通,特急V,急行,普通,急行,特急,,
,03,10,12,30,42,54,,
,東青山,難波,上本町,東青山,上本町,上本町,,
,6,4,2,6,4,4,,
18,普通,特急V,急行,普通,急行,普通,,
,04,10,15,34,43,59,,
,東青山,難波,名張,東青山,上本町,東青山,,
,6,4,5,6,4,6,,
19,特急V,急行,普通,急行,特急,,,
,09,12,35,43,56,,,
,難波,名張,東青山,上本町,難波,,,
,4,4,6,4,4,,,
20,普通,急行,普通,特急I,普通,,,
,01,07,33,55,57,,,
,東青山,上本町,青山町,難波,青山町,,,
,6,4,6,4,6,,,
21,急行,普通,普通,,,,,
,14,31,55,,,,,
,上本町,青山町,名張,,,,,
,4,6,6,,,,,
22,急行,普通,,,,,,
,19,49,,,,,,
,名張,名張,,,,,,
,4,6,,,,,,
23,普通,,,,,,,
,15,,,,,,,
,名張,,,,,,,
,3,,,,,,,
