Aダイヤ 伊勢中川駅 下り時刻表,,,,,,,,,,,,
5,普通,普通,普通,,,,,,,,,
,01,26,52,,,,,,,,,
,賢島,賢島,賢島,,,,,,,,,
,3,3,1,,,,,,,,,
6,普通,急行,普通,急行,普通,,,,,,,
,08,26,29,47,55,,,,,,,
,宇治山田,鳥羽,宇治山田,鳥羽,賢島,,,,,,,
,3,3,1,3,1,,,,,,,
7,普通,急行,特急V,普通,普通,特急U,急行,,,,,
,13,28,32,33,45,51,54,,,,,
,宇治山田,鳥羽,賢島,五十鈴川,宇治山田,賢島,鳥羽,,,,,
,1,3,3,2,2,3,2,,,,,
8,普通,特急V,特急,普通,急行,特急,急行,普通,急行,特急,,
,03,08,17,26,30,34,38,45,49,52,,
,鳥羽,宇治山田,賢島,賢島,五十鈴川,賢島,松阪,鳥羽,五十鈴川,五十鈴川,,
,2,3,3,1,3,3,2,1,3,3,,
9,急行,特急I,特急,急行,普通,特急,急行,特急V,特急V,普通,,
,06,11,14,21,22,35,41,51,54,57,,
,五十鈴川,鳥羽,宇治山田,松阪,賢島,賢島,五十鈴川,五十鈴川,鳥羽,鳥羽,,
,3,3,3,3,2,3,3,3,3,2,,
10,急行,特急U,特急V,急行,普通,特急I,急行,快速急行,特急,特急I,普通,
,02,10,14,20,29,35,42,44,51,54,57,
,松阪,賢島,宇治山田,松阪,賢島,賢島,五十鈴川,松阪,五十鈴川,賢島,鳥羽,
,3,3,3,3,2,3,2,3,3,3,1,
11,急行,特急V,急行,普通,特急I,急行,特急,普通,,,,
,02,13,20,28,35,42,51,59,,,,
,松阪,鳥羽,松阪,賢島,賢島,五十鈴川,五十鈴川,鳥羽,,,,
,3,3,3,2,3,2,3,1,,,,
12,急行,特急I,急行,普通,特急V,急行,特急,普通,,,,
,02,13,20,28,35,41,51,57,,,,
,松阪,賢島,松阪,賢島,賢島,五十鈴川,五十鈴川,鳥羽,,,,
,3,3,3,2,3,3,3,2,,,,
13,急行,特急,急行,普通,特急V,急行,特急,普通,,,,
,02,13,20,28,35,41,51,57,,,,
,松阪,賢島,松阪,賢島,賢島,五十鈴川,五十鈴川,賢島,,,,
,3,3,3,2,3,3,3,2,,,,
14,急行,特急V,急行,普通,特急V,急行,特急,普通,,,,
,02,11,20,28,35,41,51,57,,,,
,松阪,賢島,松阪,賢島,賢島,五十鈴川,鳥羽,賢島,,,,
,3,3,3,2,3,3,3,2,,,,
15,急行,特急,急行,普通,急行,特急V,急行,特急,普通,,,
,02,11,20,25,29,35,40,51,56,,,
,五十鈴川,賢島,松阪,賢島,五十鈴川,賢島,松阪,鳥羽,賢島,,,
,3,3,3,2,3,3,3,3,2,,,
16,急行,特急U,普通,急行,急行,特急V,急行,普通,特急,,,
,02,11,16,21,30,35,40,41,51,,,
,五十鈴川,賢島,賢島,松阪,五十鈴川,賢島,松阪,鳥羽,鳥羽,,,
,3,3,2,3,3,3,3,2,3,,,
17,急行,普通,特急I,急行,普通,特急I,急行,普通,急行,特急,,
,02,04,11,20,21,35,40,41,46,52,,
,五十鈴川,賢島,賢島,松阪,鳥羽,賢島,松阪,賢島,五十鈴川,鳥羽,,
,3,1,3,3,1,3,3,2,3,3,,
18,普通,急行,特急I,普通,急行,特急,急行,普通,特急,急行,特急,
,02,06,10,20,24,35,38,39,46,53,58,
,賢島,五十鈴川,賢島,五十鈴川,松阪,鳥羽,宇治山田,賢島,五十鈴川,宇治山田,鳥羽,
,1,3,3,3,2,3,3,2,3,3,3,
19,普通,特急U,特急,急行,特急V,普通,急行,特急V,普通,特急,急行,急行
,00,05,09,13,17,19,30,38,41,48,54,59
,賢島,五十鈴川,松阪,松阪,賢島,宇治山田,五十鈴川,五十鈴川,賢島,鳥羽,松阪,宇治山田
,1,3,3,3,3,1,2,3,2,3,3,3
20,特急,普通,特急V,急行,特急V,普通,快速急行,特急V,急行,特急,普通,急行
,05,06,11,13,19,27,34,38,43,49,51,56
,五十鈴川,鳥羽,松阪,松阪,五十鈴川,宇治山田,松阪,宇治山田,鳥羽,賢島,鳥羽,松阪
,3,2,3,2,3,3,2,3,2,3,1,3
21,普通,急行,特急V,特急,快速急行,急行,普通,特急,特急,普通,急行,快速急行
,05,09,12,15,22,25,30,42,47,52,56,59
,宇治山田,宇治山田,五十鈴川,松阪,鳥羽,松阪,五十鈴川,松阪,五十鈴川,賢島,五十鈴川,松阪
,2,3,3,3,3,3,2,3,3,2,2,3
22,急行,特急U,普通,特急,急行,急行,特急V,特急U,普通,,,
,10,13,15,22,30,39,43,47,48,,,
,松阪,鳥羽,宇治山田,松阪,宇治山田,松阪,松阪,宇治山田,鳥羽,,,
,3,3,2,3,3,3,3,3,1,,,
23,特急I,普通,特急V,普通,特急I,普通,,,,,,
,09,12,21,28,47,50,,,,,,
,宇治山田,明星,松阪,宇治山田,松阪,明星,,,,,,
,2,1,3,2,2,2,,,,,,
