Aダイヤ 伊勢中川駅 下り時刻表,,,,,,,,,,,,,
5,普通,普通,普通,,,,,,,,,,
,01,29,54,,,,,,,,,,
,賢島,賢島,賢島,,,,,,,,,,
,3,3,1,,,,,,,,,,
6,普通,急行,普通,,,,,,,,,,
,21,46,48,,,,,,,,,,
,鳥羽,鳥羽,賢島,,,,,,,,,,
,1,2,1,,,,,,,,,,
7,普通,急行,特急V,普通,急行,特急,普通,急行,,,,,
,11,26,31,36,48,51,53,58,,,,,
,宇治山田,鳥羽,賢島,鳥羽,松阪,賢島,宇治山田,五十鈴川,,,,,
,1,2,3,2,3,3,2,3,,,,,
8,特急V,特急,普通,急行,特急,普通,急行,急行,特急,特急,普通,,
,05,11,12,30,32,33,38,48,51,55,56,,
,宇治山田,賢島,鳥羽,五十鈴川,賢島,鳥羽,松阪,宇治山田,五十鈴川,鳥羽,鳥羽,,
,3,3,2,3,3,1,2,3,3,3,2,,
9,急行,特急U,特急V,普通,特急,急行,特急U,特急V,急行,普通,,,
,07,10,14,28,35,41,51,54,58,59,,,
,五十鈴川,賢島,宇治山田,賢島,賢島,五十鈴川,五十鈴川,賢島,松阪,鳥羽,,,
,2,3,3,1,3,3,3,3,3,2,,,
10,急行,特急V,特急V,急行,普通,特急I,急行,特急,特急I,普通,,,
,02,10,13,24,25,34,41,51,54,58,,,
,松阪,鳥羽,宇治山田,松阪,賢島,鳥羽,五十鈴川,五十鈴川,賢島,鳥羽,,,
,3,3,3,2,1,3,3,3,3,2,,,
11,急行,特急V,快速急行,特急I,急行,普通,特急V,急行,特急,普通,,,
,02,07,09,13,20,28,35,42,51,59,,,
,松阪,鳥羽,松阪,賢島,松阪,賢島,賢島,五十鈴川,五十鈴川,鳥羽,,,
,3,3,2,3,3,2,3,2,3,1,,,
12,急行,特急V,特急V,急行,普通,特急I,急行,特急,普通,,,,
,03,07,13,20,28,35,41,51,57,,,,
,松阪,鳥羽,賢島,松阪,賢島,賢島,五十鈴川,五十鈴川,鳥羽,,,,
,3,3,3,3,2,3,3,3,2,,,,
13,急行,特急U,急行,普通,特急V,急行,特急V,普通,,,,,
,02,13,20,28,35,41,51,57,,,,,
,松阪,賢島,松阪,賢島,賢島,五十鈴川,五十鈴川,賢島,,,,,
,3,3,3,2,3,3,3,2,,,,,
14,急行,特急,急行,普通,特急,急行,特急U,普通,,,,,
,02,13,20,28,35,41,51,57,,,,,
,松阪,賢島,松阪,賢島,賢島,宇治山田,鳥羽,賢島,,,,,
,3,3,3,2,3,3,3,2,,,,,
15,急行,特急V,急行,急行,普通,特急,急行,特急U,普通,,,,
,02,12,20,28,29,35,40,51,57,,,,
,宇治山田,賢島,松阪,五十鈴川,賢島,賢島,松阪,鳥羽,賢島,,,,
,3,3,3,3,2,3,3,3,2,,,,
16,急行,特急I,普通,急行,急行,特急I,急行,普通,特急,,,,
,02,13,16,20,30,35,40,41,51,,,,
,五十鈴川,賢島,賢島,松阪,五十鈴川,賢島,松阪,宇治山田,鳥羽,,,,
,3,3,2,3,3,3,3,2,3,,,,
17,普通,急行,特急I,急行,普通,特急V,急行,普通,特急U,,,,
,00,05,10,20,22,35,42,46,51,,,,
,賢島,五十鈴川,賢島,松阪,賢島,賢島,宇治山田,五十鈴川,鳥羽,,,,
,2,3,3,3,1,3,3,2,3,,,,
18,普通,急行,特急U,急行,普通,特急I,普通,急行,特急,特急V,,,
,00,04,10,20,22,35,37,41,48,56,,,
,鳥羽,宇治山田,賢島,松阪,鳥羽,鳥羽,宇治山田,五十鈴川,五十鈴川,鳥羽,,,
,2,2,3,3,2,3,2,3,3,3,,,
19,普通,特急,快速急行,特急V,特急V,普通,特急V,急行,普通,特急,急行,,
,00,04,07,13,18,19,36,39,43,48,55,,
,賢島,五十鈴川,五十鈴川,松阪,賢島,宇治山田,宇治山田,五十鈴川,賢島,鳥羽,松阪,,
,2,3,3,3,3,2,3,3,2,3,3,,
20,快速,特急,普通,急行,特急V,特急V,快速急行,普通,特急,急行,特急,普通,急行
,00,05,07,11,16,18,27,30,35,38,49,50,55
,宇治山田,五十鈴川,鳥羽,松阪,鳥羽,松阪,鳥羽,宇治山田,五十鈴川,松阪,賢島,鳥羽,松阪
,3,3,2,3,3,3,3,1,3,3,3,1,3
21,普通,急行,特急U,特急V,普通,急行,特急,特急V,普通,急行,,,
,05,10,12,15,25,29,37,47,51,55,,,
,五十鈴川,宇治山田,松阪,五十鈴川,五十鈴川,鳥羽,松阪,五十鈴川,賢島,五十鈴川,,,
,2,3,3,3,2,3,3,3,2,2,,,
22,急行,特急U,普通,特急,急行,特急,普通,特急,,,,,
,09,13,14,22,29,40,41,47,,,,,
,松阪,鳥羽,宇治山田,松阪,宇治山田,松阪,鳥羽,宇治山田,,,,,
,3,3,2,3,3,3,1,3,,,,,
23,特急I,普通,特急V,普通,特急I,普通,,,,,,,
,06,11,20,28,47,50,,,,,,,
,松阪,明星,松阪,宇治山田,松阪,明星,,,,,,,
,2,1,3,3,2,2,,,,,,,
