Aダイヤ 奈良駅 下り時刻表,,,,,,,,,,,,,,,
5,区準,区準,区準,急行,快急,,,,,,,,,,
,09,18,30,42,51,,,,,,,,,,
,尼崎,尼崎,尼崎,京都,尼崎,,,,,,,,,,
,3,3,3,3,2,,,,,,,,,,
6,特急,快急,快急,区準,特急U,快急,急行,快急,特急,普通,快急,,,,
,00,03,15,18,26,32,37,42,47,50,55,,,,
,京都,大阪難波,尼崎,大阪難波,大阪難波,神戸三宮,京都,大阪難波,大阪難波,尼崎,大阪難波,,,,
,3,2,2,4,3,2,4,1,2,4,1,,,,
7,特急,快急,急行,準急,快急,急行,快急,準急,快急,特急,急行,快急,普通,,
,00,03,06,10,14,18,23,29,38,41,45,48,54,,
,京都,神戸三宮,国際会館,大阪難波,神戸三宮,京都,神戸三宮,大阪難波,神戸三宮,京都,国際会館,尼崎,尼崎,,
,4,1,2,3,1,4,1,2,1,4,3,1,2,,
8,特急H,快急,準急,快急,区準,普通,快急,準急,特急V,快急,急行,特急H,快急,特急,快急
,02,04,09,16,18,21,26,29,33,35,42,46,48,52,57
,大阪難波,神戸三宮,大阪難波,大阪難波,大阪難波,大和西大寺,尼崎,大阪難波,京都,大阪難波,京都,大阪難波,尼崎,京都,大阪難波
,3,1,4,1,3,2,1,4,3,1,2,3,1,4,2
9,快急,準急,急行,特急I,快急,特急,急行,快急,普通,特急A,急行,特急V,,,
,06,08,12,15,21,25,31,42,46,50,51,55,,,
,神戸三宮,尼崎,国際会館,大阪難波,尼崎,京都,大阪難波,神戸三宮,尼崎,京都,大阪難波,大阪難波,,,
,1,2,3,4,2,4,1,4,2,4,1,3,,,
10,快急,普通,急行,特急V,快急,快急,急行,快急,,,,,,,
,03,07,13,20,25,35,44,55,,,,,,,
,神戸三宮,尼崎,国際会館,京都,大阪難波,神戸三宮,京都,大阪難波,,,,,,,
,2,1,4,3,1,2,4,2,,,,,,,
11,快急,急行,特急,快急,快急,急行,急行,特急A,快急,,,,,,
,05,15,20,25,35,41,45,50,55,,,,,,
,神戸三宮,大阪難波,京都,大阪難波,神戸三宮,京都,大阪難波,京都,大阪難波,,,,,,
,1,2,3,2,1,4,2,3,1,,,,,,
12,快急,急行,急行,特急,快急,区準,快急,急行,快急,,,,,,
,05,11,15,20,25,27,35,45,55,,,,,,
,神戸三宮,京都,大阪難波,京都,大阪難波,大阪難波,神戸三宮,大阪難波,大阪難波,,,,,,
,1,4,2,3,1,2,1,1,1,,,,,,
13,特急V,快急,急行,急行,快急,快急,急行,特急A,快急,,,,,,
,00,05,11,15,25,35,45,50,55,,,,,,
,京都,神戸三宮,京都,大阪難波,大阪難波,神戸三宮,大阪難波,京都,大阪難波,,,,,,
,4,1,3,1,1,1,1,3,2,,,,,,
14,快急,急行,急行,急行,快急,快急,急行,快急,,,,,,,
,05,11,15,23,25,35,45,55,,,,,,,
,神戸三宮,京都,大阪難波,京都,大阪難波,神戸三宮,大阪難波,大阪難波,,,,,,,
,1,3,1,3,2,2,1,1,,,,,,,
15,特急V,快急,普通,急行,急行,快急,特急A,急行,区準,快急,急行,急行,,,
,00,05,07,11,23,25,30,35,38,45,48,55,,,
