Bダイヤ 奈良駅 下り時刻表,,,,,,,,,,,,,,
5,区準,急行,区準,区準,,,,,,,,,,
,09,22,40,52,,,,,,,,,,
,尼崎,京都,尼崎,尼崎,,,,,,,,,,
,3,3,3,3,,,,,,,,,,
6,快急,快急,特急V,区準,快急,特急,快急,快急,区準,,,,,
,03,15,17,20,28,37,42,55,58,,,,,
,大阪難波,大阪難波,京都,尼崎,尼崎,京都,大阪難波,大阪難波,大阪難波,,,,,
,2,2,3,4,2,3,1,2,1,,,,,
7,快急,快急,区準,特急V,特急U,快急,快急,快急,特急,快急,,,,
,04,12,15,20,23,25,33,44,52,53,,,,
,神戸三宮,大阪難波,大阪難波,京都,大阪難波,神戸三宮,大阪難波,神戸三宮,京都,大阪難波,,,,
,2,1,2,4,3,1,1,1,3,1,,,,
8,特急H,快急,区準,快急,普通,特急I,快急,区準,快急,特急V,快急,区準,快急,
,01,04,08,13,15,20,24,27,32,43,45,48,54,
,大阪難波,神戸三宮,大阪難波,大阪難波,尼崎,京都,神戸三宮,大阪難波,大阪難波,大阪難波,神戸三宮,大阪難波,大阪難波,
,3,1,4,1,3,4,1,2,1,3,1,2,1,
9,特急,快急,普通,急行,特急,急行,急行,快急,普通,特急,急行,快急,普通,急行
,00,02,05,08,13,15,20,23,28,30,36,45,49,54
,京都,神戸三宮,尼崎,国際会館,大阪難波,大阪難波,京都,神戸三宮,尼崎,京都,大阪難波,神戸三宮,尼崎,大阪難波
,4,2,1,4,3,2,3,1,2,3,1,2,1,2
10,特急V,快急,急行,特急A,区準,特急I,快急,特急,急行,快急,急行,急行,,
,00,05,10,13,16,23,24,33,34,46,51,56,,
,京都,神戸三宮,国際会館,京都,大阪難波,大阪難波,神戸三宮,京都,大阪難波,神戸三宮,国際会館,大阪難波,,
,4,2,3,4,1,4,2,3,1,2,3,2,,
11,急行,快急,特急,急行,急行,快急,普通,急行,快急,特急A,急行,,,
,01,06,10,15,23,26,29,35,46,50,56,,,
,京都,神戸三宮,京都,大阪難波,国際会館,神戸三宮,尼崎,大阪難波,神戸三宮,京都,大阪難波,,,
,4,1,3,1,4,1,2,1,1,3,2,,,
12,特急,快急,急行,急行,急行,快急,急行,快急,特急,急行,,,,
,00,06,13,15,23,26,35,46,50,55,,,,
,京都,神戸三宮,京都,大阪難波,国際会館,神戸三宮,大阪難波,神戸三宮,京都,大阪難波,,,,
,3,2,4,1,4,2,2,1,4,1,,,,
13,特急,快急,急行,急行,急行,快急,急行,快急,特急A,急行,区準,,,
,05,06,13,15,23,26,35,46,50,56,58,,,
,京都,神戸三宮,京都,大阪難波,国際会館,神戸三宮,大阪難波,神戸三宮,京都,大阪難波,大阪難波,,,
,3,1,3,2,3,1,1,2,3,1,3,,,
14,快急,急行,急行,快急,急行,快急,特急,急行,,,,,,
,06,15,23,26,35,46,50,56,,,,,,
,神戸三宮,京都,国際会館,神戸三宮,大阪難波,神戸三宮,京都,大阪難波,,,,,,
,1,4,4,1,1,1,4,1,,,,,,
15,特急,快急,急行,急行,快急,急行,急行,区準,快急,特急A,急行,,,
,05,06,13,16,23,26,35,38,45,50,56,,,
,京都,神戸三宮,京都,大阪難波,神戸三宮,国際会館,大阪難波,大阪難波,神戸三宮,京都,大阪難波,,,
,4,1,4,2,1,3,2,4,1,3,1,,,
16,特急H,特急,快急,急行,急行,快急,急行,区準,快急,特急,急行,区準,,
,03,05,06,15,23,26,35,38,43,50,53,58,,
,大阪難波,京都,神戸三宮,京都,国際会館,神戸三宮,大阪難波,大阪難波,神戸三宮,京都,大阪難波,大阪難波,,
,3,4,2,4,3,1,1,4,2,3,1,3,,
17,快急,急行,特急A,特急,快急,急行,区準,急行,快急,特急,急行,,,
,05,15,22,25,26,34,38,43,46,55,56,,,
,神戸三宮,大阪難波,大阪難波,京都,神戸三宮,大阪難波,大阪難波,京都,神戸三宮,京都,大阪難波,,,
,1,1,4,3,1,2,1,3,1,4,1,,,
18,快急,急行,特急I,快急,快急,区準,急行,特急,快急,,,,,
,03,11,20,21,34,39,47,50,56,,,,,
,神戸三宮,大阪難波,京都,大阪難波,神戸三宮,大阪難波,京都,大阪難波,神戸三宮,,,,,
,2,1,3,2,2,4,4,3,1,,,,,
19,準急,特急V,急行,普通,快急,急行,特急,快急,,,,,,
,00,15,16,20,33,41,45,56,,,,,,
,大阪難波,京都,大阪難波,大和西大寺,神戸三宮,京都,京都,神戸三宮,,,,,,
,2,3,2,1,1,4,3,1,,,,,,
20,準急,快急,普通,快急,快急,区準,,,,,,,,
,00,13,30,36,49,52,,,,,,,,
,大阪難波,大阪難波,尼崎,尼崎,大阪難波,尼崎,,,,,,,,
,3,2,2,1,2,1,,,,,,,,
21,区準,区準,快急,準急,普通,快急,準急,,,,,,,
,05,14,25,32,38,49,53,,,,,,,
,尼崎,尼崎,尼崎,尼崎,大和西大寺,大阪難波,尼崎,,,,,,,
,1,1,2,1,3,1,2,,,,,,,
22,普通,快急,普通,区準,普通,快急,,,,,,,,
,07,14,21,32,41,52,,,,,,,,
,大和西大寺,尼崎,大和西大寺,大阪難波,大和西大寺,大阪難波,,,,,,,,
,1,2,1,2,1,2,,,,,,,,
23,普通,普通,普通,普通,普通,,,,,,,,,
,01,09,18,33,46,,,,,,,,,
,尼崎,大阪難波,東花園,大和西大寺,東花園,,,,,,,,,
,1,2,1,1,2,,,,,,,,,
0,普通,普通,普通,,,,,,,,,,,
,00,11,31,,,,,,,,,,,
,東花園,大和西大寺,大和西大寺,,,,,,,,,,,
,2,2,2,,,,,,,,,,,
