Aダイヤ 浅草駅 下り時刻表,,,,,,,,,,
4,区間急行,,,,,,,,,
,58,,,,,,,,,
,南栗橋,,,,,,,,,
,1,,,,,,,,,
5,区間急行,区間急行,普通,普通,,,,,,
,11,30,45,58,,,,,,
,館林,館林,北千住,北千住,,,,,,
,1,1,1,1,,,,,,
6,区間準急,普通,リバティけごん,リバティ会津,普通,リバティりょうもう,区間急行,,,
,13,25,30,30,39,48,50,,,
,南栗橋,北千住,東武日光,会津田島,北千住,赤城,館林,,,
,1,1,3,3,1,3,1,,,
7,区間急行,区間急行,区間準急,リバティきぬ,区間準急,りょうもう,区間準急,スペーシアＸ,区間準急,
,03,10,18,30,33,40,43,50,52,
,館林,館林,館林,鬼怒川温泉,館林,赤城,東武動物公園,東武日光,久喜,
,1,1,1,3,1,3,1,3,1,
8,普通,区間準急,区間準急,リバティきぬ,区間急行,りょうもう,普通,区間準急,,
,01,11,21,30,32,40,43,51,,
,北千住,北春日部,北春日部,鬼怒川温泉,南栗橋,赤城,北千住,北春日部,,
,1,1,1,3,1,3,1,1,,
9,スペーシアＸ,区間準急,区間準急,普通,リバティけごん,リバティ会津,普通,りょうもう,普通,普通
,00,03,13,21,30,30,33,40,43,52
,東武日光,南栗橋,北春日部,北千住,東武日光,会津田島,北千住,赤城,北千住,北千住
,3,1,1,1,3,3,1,3,1,1
10,スペーシアＸ,普通,普通,リバティりょうもう,普通,普通,普通,りょうもう,普通,
,00,02,12,20,22,32,42,50,52,
,東武日光,北千住,北千住,太田,北千住,北千住,北千住,赤城,北千住,
,3,1,1,3,1,1,1,3,1,
11,リバティけごん,リバティ会津,普通,普通,普通,けごん,普通,普通,リバティりょうもう,普通
,00,00,02,12,22,30,32,42,50,52
,東武日光,会津田島,北千住,北千住,北千住,東武日光,北千住,北千住,赤城,北千住
,3,3,1,1,1,3,1,1,3,1
12,普通,普通,普通,スペーシアＸ,普通,普通,リバティりょうもう,普通,,
,02,12,22,30,32,42,50,52,,
,北千住,北千住,北千住,鬼怒川温泉,北千住,北千住,赤城,北千住,,
,1,1,1,3,1,1,3,1,,
13,けごん,普通,普通,普通,リバティけごん,普通,普通,りょうもう,普通,
,00,02,11,22,30,32,42,50,52,
,東武日光,北千住,北千住,北千住,東武日光,北千住,北千住,赤城,北千住,
,3,1,1,1,3,1,1,3,1,
14,スペーシアＸ,普通,普通,普通,リバティけごん,リバティ会津,普通,普通,りょうもう,普通
,00,02,12,22,30,30,32,42,50,52
,鬼怒川温泉,北千住,北千住,北千住,東武日光,会津田島,北千住,北千住,赤城,北千住
,3,1,1,1,3,3,1,1,3,1
15,スペーシアＸ,普通,普通,りょうもう,普通,普通,普通,りょうもう,普通,
,00,02,12,20,22,32,42,50,52,
,東武日光,北千住,北千住,太田,北千住,北千住,北千住,赤城,北千住,
,3,1,1,3,1,1,1,3,1,
16,けごん,普通,普通,リバティりょうもう,普通,普通,普通,リバティりょうもう,区間準急,
,00,02,13,20,22,32,42,50,52,
,東武日光,北千住,北千住,太田,北千住,北千住,北千住,赤城,南栗橋,
,3,1,1,3,1,1,1,3,1,
17,きぬ,区間準急,リバティりょうもう,区間準急,区間準急,区間準急,リバティりょうもう,区間準急,区間急行,きぬ
,00,02,09,12,22,32,39,42,52,59
,鬼怒川温泉,館林,太田,北越谷,館林,南栗橋,赤城,北春日部,館林,鬼怒川温泉
,3,1,3,1,1,1,3,1,1,3
18,区間準急,りょうもう,区間準急,リバティけごん,区間準急,区間準急,りょうもう,区間準急,スカイツリーライナー,区間急行
,02,09,12,19,22,32,39,42,49,52
,東武動物公園,太田,北越谷,東武日光,館林,南栗橋,赤城,北春日部,春日部,館林
,1,3,1,3,1,1,3,1,3,1
19,区間準急,りょうもう,区間準急,リバティけごん,区間準急,区間準急,リバティりょうもう,区間準急,区間急行,リバティけごん
,02,09,12,19,22,32,39,42,52,59
,南栗橋,赤城,北越谷,東武日光,久喜,南栗橋,伊勢崎,北越谷,館林,東武日光
,1,3,1,3,1,1,3,1,1,3
20,区間準急,りょうもう,区間準急,区間準急,区間準急,リバティりょうもう,区間準急,普通,けごん,
,02,09,12,22,32,39,42,52,59,
,北越谷,赤城,館林,北春日部,南栗橋,葛生,館林,北千住,東武日光,
,1,3,1,1,1,3,1,1,3,
21,普通,リバティりょうもう,区間準急,スカイツリーライナー,普通,普通,りょうもう,普通,区間急行,リバティけごん
,02,09,12,19,22,32,39,42,52,59
,北千住,赤城,館林,春日部,北千住,北千住,太田,北千住,館林,新栃木
,1,3,1,3,1,1,3,1,1,3
22,普通,区間準急,リバティりょうもう,普通,普通,区間急行,普通,,,
,02,12,19,22,32,42,52,,,
,北千住,館林,館林,北千住,北千住,館林,北千住,,,
,1,1,3,1,1,1,1,,,
23,区間急行,普通,普通,普通,区間準急,,,,,
,02,11,22,36,50,,,,,
,館林,北千住,北千住,北千住,北春日部,,,,,
,1,1,1,1,1,,,,,
0,普通,,,,,,,,,
,09,,,,,,,,,
,北千住,,,,,,,,,
,1,,,,,,,,,
