Aダイヤ 武蔵小杉駅 上り時刻表,,,,,,,,,,,,,,,,,,,,,,,,
5,各停,各停,各停,各停,急行,各停,各停,急行,各停,急行,急行,各停,,,,,,,,,,,,
,01,13,25,29,34,37,40,43,47,51,55,57,,,,,,,,,,,,
,和光市,和光市,和光市,渋谷,志木,和光市,渋谷,渋谷,和光市,渋谷,川越市,和光市,,,,,,,,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,
6,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,特急,各停,急行,各停,各停,急行,各停,各停,通特,,,,
,00,03,08,11,15,19,21,25,27,29,32,37,38,41,43,47,49,52,55,58,,,,
,渋谷,石神井公園,渋谷,川越市,志木,清瀬,渋谷,渋谷,和光市,和光市,志木,渋谷,渋谷,和光市,新宿三丁目,石神井公園,和光市,新宿三丁目,所沢,清瀬,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,
7,各停,各停,急行,各停,急行,各停,急行,各停,通特,各停,急行,各停,急行,各停,通特,各停,急行,各停,急行,各停,通特,各停,急行,各停
,01,05,08,10,13,15,17,20,23,25,27,30,32,35,38,40,42,44,46,50,52,55,56,59
,渋谷,渋谷,小手指,渋谷,森林公園,和光市,小手指,渋谷,和光市,渋谷,新宿三丁目,池袋,保谷,和光市,森林公園,小手指,新宿三丁目,新宿三丁目,和光市,和光市,和光市,所沢,池袋,清瀬
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8,急行,各停,通特,各停,急行,各停,急行,各停,通特,各停,急行,各停,急行,各停,通特,各停,急行,各停,急行,各停,通特,各停,急行,
,02,05,07,10,11,14,16,20,23,25,26,29,31,35,38,40,41,45,46,51,54,57,59,
,小手指,池袋,森林公園,和光市,新宿三丁目,和光市,和光市,池袋,小手指,新宿三丁目,和光市,保谷,和光市,池袋,清瀬,渋谷,渋谷,和光市,和光市,石神井公園,志木,和光市,和光市,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
9,各停,急行,各停,通特,各停,急行,各停,通特,急行,各停,急行,各停,急行,各停,特急,各停,急行,各停,特急,急行,,,,
,03,05,10,13,16,18,21,24,27,30,32,35,38,41,45,48,50,53,56,58,,,,
,渋谷,和光市,和光市,森林公園,渋谷,小手指,渋谷,小手指,川越市,新宿三丁目,保谷,渋谷,和光市,和光市,和光市,和光市,渋谷,渋谷,和光市,渋谷,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,
10,各停,急行,各停,Ｆ特急,急行,各停,急行,各停,特急,各停,急行,各停,Ｆ特急,急行,各停,急行,各停,Ｆ特急,,,,,,
,01,03,06,10,13,15,19,22,26,30,34,37,41,43,46,49,52,56,,,,,,
,石神井公園,和光市,池袋,小手指,渋谷,渋谷,川越市,和光市,森林公園,渋谷,和光市,石神井公園,小手指,和光市,和光市,渋谷,池袋,森林公園,,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,
11,各停,急行,各停,Ｆ特急,急行,各停,急行,各停,Ｆ特急,各停,急行,各停,Ｆ特急,急行,各停,急行,各停,Ｆ特急,,,,,,
,00,04,07,11,13,16,19,22,26,30,34,37,41,43,46,49,52,56,,,,,,
,渋谷,和光市,石神井公園,小手指,川越市,和光市,渋谷,池袋,森林公園,渋谷,和光市,石神井公園,小手指,和光市,和光市,渋谷,池袋,森林公園,,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,
12,各停,急行,各停,Ｆ特急,急行,各停,急行,各停,Ｆ特急,各停,急行,各停,Ｆ特急,急行,各停,急行,各停,Ｆ特急,,,,,,
,00,04,07,11,13,16,19,22,26,30,34,37,41,43,46,49,52,56,,,,,,
,渋谷,和光市,石神井公園,小手指,川越市,和光市,渋谷,池袋,森林公園,渋谷,和光市,石神井公園,小手指,和光市,和光市,渋谷,池袋,森林公園,,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,
13,各停,急行,各停,Ｆ特急,急行,各停,急行,各停,Ｆ特急,各停,急行,各停,Ｆ特急,急行,各停,急行,各停,Ｆ特急,,,,,,
,00,04,07,11,13,16,19,22,26,30,34,37,41,43,46,49,52,56,,,,,,
,渋谷,和光市,石神井公園,小手指,川越市,和光市,渋谷,池袋,森林公園,渋谷,和光市,石神井公園,小手指,和光市,和光市,渋谷,池袋,森林公園,,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,
14,各停,急行,各停,Ｆ特急,急行,各停,急行,各停,Ｆ特急,各停,急行,各停,Ｆ特急,急行,各停,急行,各停,Ｆ特急,,,,,,
,00,04,07,11,13,16,19,22,26,30,34,37,41,43,46,49,52,56,,,,,,
