Aダイヤ 武蔵小杉駅 上り時刻表,,,,,,,,,,,,,,,,,,,,,
4,各停,,,,,,,,,,,,,,,,,,,,
,58,,,,,,,,,,,,,,,,,,,,
,浦和美園,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,
5,各停,各停,各停,各停,各停,各停,各停,各停,,,,,,,,,,,,,
,07,14,19,28,32,41,45,51,,,,,,,,,,,,,
,西高島平,目黒,浦和美園,浦和美園,西高島平,浦和美園,西高島平,浦和美園,,,,,,,,,,,,,
,3,3,3,3,3,3,3,3,,,,,,,,,,,,,
6,各停,急行,各停,急行,各停,各停,各停,各停,各停,急行,各停,各停,各停,各停,急行,,,,,,
,00,05,10,15,19,26,30,35,40,43,46,49,53,56,59,,,,,,
,浦和美園,西高島平,西高島平,浦和美園,浦和美園,西高島平,浦和美園,西高島平,西高島平,浦和美園,浦和美園,浦和美園,鳩ケ谷,西高島平,西高島平,,,,,,
,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,
7,各停,急行,各停,各停,各停,急行,各停,急行,各停,急行,各停,急行,各停,急行,各停,急行,各停,急行,各停,急行,各停
,02,05,08,12,15,18,21,25,27,30,32,35,37,40,43,45,47,50,52,55,58
,西高島平,浦和美園,浦和美園,鳩ケ谷,西高島平,西高島平,西高島平,浦和美園,西高島平,鳩ケ谷,鳩ケ谷,浦和美園,浦和美園,西高島平,西高島平,鳩ケ谷,西高島平,浦和美園,鳩ケ谷,高島平,王子神谷
,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
8,急行,各停,急行,各停,急行,各停,急行,各停,急行,各停,急行,各停,急行,各停,急行,各停,各停,急行,各停,各停,急行
,00,02,05,07,10,12,15,17,20,22,25,27,30,34,36,40,44,46,50,54,56
,西高島平,高島平,浦和美園,高島平,鳩ケ谷,浦和美園,西高島平,鳩ケ谷,高島平,西高島平,浦和美園,浦和美園,高島平,鳩ケ谷,西高島平,西高島平,西高島平,浦和美園,高島平,高島平,鳩ケ谷
,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
9,各停,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,,,,,,
,00,03,07,09,13,18,20,24,29,34,37,44,49,52,58,,,,,,
,鳩ケ谷,西高島平,西高島平,浦和美園,高島平,浦和美園,西高島平,高島平,浦和美園,西高島平,西高島平,西高島平,高島平,浦和美園,西高島平,,,,,,
,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,
10,各停,急行,各停,各停,急行,各停,各停,急行,各停,各停,急行,各停,,,,,,,,,
