Aダイヤ 武蔵小杉駅 下り時刻表,,,
5,普通,普通,
,10,51,
,越後川口,戸狩野沢温泉,
,4,4,
6,普通,普通,普通
,0,23,58
,妙高高原,妙高高原,戸狩野沢温泉
,5,5,4
7,普通,普通,
,17,45,
,豊野,妙高高原,
,5,2,
8,普通,普通,
,14,37,
,豊野,戸狩野沢温泉,
,2,4,
9,普通,,
,23,,
,妙高高原,,
,7,,
10,普通,普通,
,29,49,
,越後川口,妙高高原,
,4,7,
11,普通,,
,47,,
,飯山,,
,7,,
12,普通,普通,
,11,33,
,妙高高原,十日町,
,2,4,
13,普通,,
,16,,
,妙高高原,,
,7,,
14,普通,普通,
,5,15,
,戸狩野沢温泉,妙高高原,
,4,2,
15,普通,普通,普通
,4,23,43
,越後川口,妙高高原,豊野
,4,7,5
16,普通,普通,
,7,30,
,妙高高原,越後川口,
,7,4,
17,普通,普通,
,6,36,
,妙高高原,豊野,
,5,5,
18,普通,普通,普通
,3,8,47
,戸狩野沢温泉,妙高高原,妙高高原
,4,5,7
19,普通,普通,
,5,50,
,戸狩野沢温泉,妙高高原,
,4,7,
20,普通,,
,26,,
,戸狩野沢温泉,,
,7,,
21,普通,普通,
,10,40,
,妙高高原,飯山,
,7,4,
22,普通,普通,
,3,53,
,妙高高原,戸狩野沢温泉,
,7,4,
23,普通,,
,19,,
,豊野,,
,5,,
